"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
28515,"exp1_00020_0005_015_1",5,20,1,15,"JC",NA,10000,"DNA",125,0,0,125,1,37.63,37.63,37.19,38.08,"Treelike",0.568657109493879,0.004469,1,0.995129310926576,0.519571487433045,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_015_1/exp1_00020_0005_015_1_output_alignment.fa"
28516,"exp1_00020_0005_016_1",5,20,1,16,"JC",NA,10000,"DNA",125,0,0,125,1,37.5,37.5,34.28,40.73,"Non-treelike",0.587763630500945,0.006196,1,0.995548022354729,0.586398271081989,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_016_1/exp1_00020_0005_016_1_output_alignment.fa"
28517,"exp1_00020_0005_017_1",5,20,1,17,"JC",NA,10000,"DNA",107,18,0,125,0.856,35.66,35.66,33.06,38.26,"Treelike",0.365876761299293,0.0003068,1,0.997100705119549,0.756119317973485,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_017_1/exp1_00020_0005_017_1_output_alignment.fa"
28518,"exp1_00020_0005_018_1",5,20,1,18,"JC",NA,10000,"DNA",125,0,0,125,1,42.5,42.5,38.35,46.66,"Treelike",0.384134846794833,0.004722,1,0.996505846786677,0.73260853828297,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_018_1/exp1_00020_0005_018_1_output_alignment.fa"
1426,"exp1_00020_0005_019_1",5,20,1,19,"JC",NA,10000,"DNA",125,0,0,125,1,39.66,39.66,39.26,40.05,"Non-treelike",0.502018733140887,0.0050216,1,0.996319821367114,0.610024449877751,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_019_1/exp1_00020_0005_019_1_output_alignment.fa"
28520,"exp1_00020_0005_020_1",5,20,1,20,"JC",NA,10000,"DNA",125,0,0,125,1,38.28,38.28,36,40.57,"Non-treelike",0.451788167218928,0.00687,1,0.9948585758864,0.463028766972211,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0005_020_1/exp1_00020_0005_020_1_output_alignment.fa"
28601,"exp1_00020_0010_001_1",10,20,1,1,"JC",NA,10000,"DNA",245,5,0,250,0.98,37.52,37.37,34.59,40.86,"Treelike",0.502253766273792,0.006896,1,0.983673342558448,0.420100139013671,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_001_1/exp1_00020_0010_001_1_output_alignment.fa"
28602,"exp1_00020_0010_002_1",10,20,1,2,"JC",NA,10000,"DNA",243,7,0,250,0.972,37.83,37.62,34.79,41.35,"Non-treelike",0.498310332026944,0.0058454,1,0.982002196644596,0.423956124177381,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_002_1/exp1_00020_0010_002_1_output_alignment.fa"
28603,"exp1_00020_0010_003_1",10,20,1,3,"JC",NA,10000,"DNA",245,5,0,250,0.98,38.63,37.94,36.16,43.33,"Treelike",0.46183452780913,0.0045254,1,0.984147614759909,0.434251871422123,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_003_1/exp1_00020_0010_003_1_output_alignment.fa"
28604,"exp1_00020_0010_004_1",10,20,1,4,"JC",NA,10000,"DNA",248,2,0,250,0.992,38.15,39.23,32.28,43.08,"Treelike",0.498661750039545,0.0056594,1,0.980921455809761,0.511914415020827,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_004_1/exp1_00020_0010_004_1_output_alignment.fa"
28605,"exp1_00020_0010_005_1",10,20,1,5,"JC",NA,10000,"DNA",247,3,0,250,0.988,36.9,36.29,33.48,44.82,"Treelike",0.51987110265198,0.0061568,1,0.983155477911823,0.523712985616056,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_005_1/exp1_00020_0010_005_1_output_alignment.fa"
28606,"exp1_00020_0010_006_1",10,20,1,6,"JC",NA,10000,"DNA",246,4,0,250,0.984,38.77,37.36,34.18,49.69,"Treelike",0.510803730508844,0.0071954,1,0.982535092714338,0.587663250872144,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_006_1/exp1_00020_0010_006_1_output_alignment.fa"
28607,"exp1_00020_0010_007_1",10,20,1,7,"JC",NA,10000,"DNA",245,5,0,250,0.98,35.9,35.87,33.78,38.47,"Treelike",0.523395110577081,0.0055177,1,0.984000383301153,0.483662151578571,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_007_1/exp1_00020_0010_007_1_output_alignment.fa"
