"","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,5,1,0.01,"exp1_00001_0005_001_0.01","JC",NA,10000,"DNA","exp1_00001_0005_001_0.01_random_trees.phy","exp1_00001_0005_001_0.01_partitions.nex","exp1_00001_0005_001_0.01_output_alignment"
"2",2,5,1,0.01,"exp1_00001_0005_002_0.01","JC",NA,10000,"DNA","exp1_00001_0005_002_0.01_random_trees.phy","exp1_00001_0005_002_0.01_partitions.nex","exp1_00001_0005_002_0.01_output_alignment"
"3",3,5,1,0.01,"exp1_00001_0005_003_0.01","JC",NA,10000,"DNA","exp1_00001_0005_003_0.01_random_trees.phy","exp1_00001_0005_003_0.01_partitions.nex","exp1_00001_0005_003_0.01_output_alignment"
"4",4,5,1,0.01,"exp1_00001_0005_004_0.01","JC",NA,10000,"DNA","exp1_00001_0005_004_0.01_random_trees.phy","exp1_00001_0005_004_0.01_partitions.nex","exp1_00001_0005_004_0.01_output_alignment"
"5",5,5,1,0.01,"exp1_00001_0005_005_0.01","JC",NA,10000,"DNA","exp1_00001_0005_005_0.01_random_trees.phy","exp1_00001_0005_005_0.01_partitions.nex","exp1_00001_0005_005_0.01_output_alignment"
"6",6,5,1,0.01,"exp1_00001_0005_006_0.01","JC",NA,10000,"DNA","exp1_00001_0005_006_0.01_random_trees.phy","exp1_00001_0005_006_0.01_partitions.nex","exp1_00001_0005_006_0.01_output_alignment"
"7",7,5,1,0.01,"exp1_00001_0005_007_0.01","JC",NA,10000,"DNA","exp1_00001_0005_007_0.01_random_trees.phy","exp1_00001_0005_007_0.01_partitions.nex","exp1_00001_0005_007_0.01_output_alignment"
"8",8,5,1,0.01,"exp1_00001_0005_008_0.01","JC",NA,10000,"DNA","exp1_00001_0005_008_0.01_random_trees.phy","exp1_00001_0005_008_0.01_partitions.nex","exp1_00001_0005_008_0.01_output_alignment"
"9",9,5,1,0.01,"exp1_00001_0005_009_0.01","JC",NA,10000,"DNA","exp1_00001_0005_009_0.01_random_trees.phy","exp1_00001_0005_009_0.01_partitions.nex","exp1_00001_0005_009_0.01_output_alignment"
"10",10,5,1,0.01,"exp1_00001_0005_010_0.01","JC",NA,10000,"DNA","exp1_00001_0005_010_0.01_random_trees.phy","exp1_00001_0005_010_0.01_partitions.nex","exp1_00001_0005_010_0.01_output_alignment"
"11",11,5,1,0.01,"exp1_00001_0005_011_0.01","JC",NA,10000,"DNA","exp1_00001_0005_011_0.01_random_trees.phy","exp1_00001_0005_011_0.01_partitions.nex","exp1_00001_0005_011_0.01_output_alignment"
"12",12,5,1,0.01,"exp1_00001_0005_012_0.01","JC",NA,10000,"DNA","exp1_00001_0005_012_0.01_random_trees.phy","exp1_00001_0005_012_0.01_partitions.nex","exp1_00001_0005_012_0.01_output_alignment"
"13",13,5,1,0.01,"exp1_00001_0005_013_0.01","JC",NA,10000,"DNA","exp1_00001_0005_013_0.01_random_trees.phy","exp1_00001_0005_013_0.01_partitions.nex","exp1_00001_0005_013_0.01_output_alignment"
"14",14,5,1,0.01,"exp1_00001_0005_014_0.01","JC",NA,10000,"DNA","exp1_00001_0005_014_0.01_random_trees.phy","exp1_00001_0005_014_0.01_partitions.nex","exp1_00001_0005_014_0.01_output_alignment"
"15",15,5,1,0.01,"exp1_00001_0005_015_0.01","JC",NA,10000,"DNA","exp1_00001_0005_015_0.01_random_trees.phy","exp1_00001_0005_015_0.01_partitions.nex","exp1_00001_0005_015_0.01_output_alignment"
"16",16,5,1,0.01,"exp1_00001_0005_016_0.01","JC",NA,10000,"DNA","exp1_00001_0005_016_0.01_random_trees.phy","exp1_00001_0005_016_0.01_partitions.nex","exp1_00001_0005_016_0.01_output_alignment"
"17",17,5,1,0.01,"exp1_00001_0005_017_0.01","JC",NA,10000,"DNA","exp1_00001_0005_017_0.01_random_trees.phy","exp1_00001_0005_017_0.01_partitions.nex","exp1_00001_0005_017_0.01_output_alignment"
"18",18,5,1,0.01,"exp1_00001_0005_018_0.01","JC",NA,10000,"DNA","exp1_00001_0005_018_0.01_random_trees.phy","exp1_00001_0005_018_0.01_partitions.nex","exp1_00001_0005_018_0.01_output_alignment"
"19",19,5,1,0.01,"exp1_00001_0005_019_0.01","JC",NA,10000,"DNA","exp1_00001_0005_019_0.01_random_trees.phy","exp1_00001_0005_019_0.01_partitions.nex","exp1_00001_0005_019_0.01_output_alignment"
"20",20,5,1,0.01,"exp1_00001_0005_020_0.01","JC",NA,10000,"DNA","exp1_00001_0005_020_0.01_random_trees.phy","exp1_00001_0005_020_0.01_partitions.nex","exp1_00001_0005_020_0.01_output_alignment"
"21",21,5,1,0.01,"exp1_00001_0005_021_0.01","JC",NA,10000,"DNA","exp1_00001_0005_021_0.01_random_trees.phy","exp1_00001_0005_021_0.01_partitions.nex","exp1_00001_0005_021_0.01_output_alignment"
"22",22,5,1,0.01,"exp1_00001_0005_022_0.01","JC",NA,10000,"DNA","exp1_00001_0005_022_0.01_random_trees.phy","exp1_00001_0005_022_0.01_partitions.nex","exp1_00001_0005_022_0.01_output_alignment"
"23",23,5,1,0.01,"exp1_00001_0005_023_0.01","JC",NA,10000,"DNA","exp1_00001_0005_023_0.01_random_trees.phy","exp1_00001_0005_023_0.01_partitions.nex","exp1_00001_0005_023_0.01_output_alignment"
"24",24,5,1,0.01,"exp1_00001_0005_024_0.01","JC",NA,10000,"DNA","exp1_00001_0005_024_0.01_random_trees.phy","exp1_00001_0005_024_0.01_partitions.nex","exp1_00001_0005_024_0.01_output_alignment"
"25",25,5,1,0.01,"exp1_00001_0005_025_0.01","JC",NA,10000,"DNA","exp1_00001_0005_025_0.01_random_trees.phy","exp1_00001_0005_025_0.01_partitions.nex","exp1_00001_0005_025_0.01_output_alignment"
"26",26,5,1,0.01,"exp1_00001_0005_026_0.01","JC",NA,10000,"DNA","exp1_00001_0005_026_0.01_random_trees.phy","exp1_00001_0005_026_0.01_partitions.nex","exp1_00001_0005_026_0.01_output_alignment"
"27",27,5,1,0.01,"exp1_00001_0005_027_0.01","JC",NA,10000,"DNA","exp1_00001_0005_027_0.01_random_trees.phy","exp1_00001_0005_027_0.01_partitions.nex","exp1_00001_0005_027_0.01_output_alignment"
"28",28,5,1,0.01,"exp1_00001_0005_028_0.01","JC",NA,10000,"DNA","exp1_00001_0005_028_0.01_random_trees.phy","exp1_00001_0005_028_0.01_partitions.nex","exp1_00001_0005_028_0.01_output_alignment"
"29",29,5,1,0.01,"exp1_00001_0005_029_0.01","JC",NA,10000,"DNA","exp1_00001_0005_029_0.01_random_trees.phy","exp1_00001_0005_029_0.01_partitions.nex","exp1_00001_0005_029_0.01_output_alignment"
"30",30,5,1,0.01,"exp1_00001_0005_030_0.01","JC",NA,10000,"DNA","exp1_00001_0005_030_0.01_random_trees.phy","exp1_00001_0005_030_0.01_partitions.nex","exp1_00001_0005_030_0.01_output_alignment"
"31",31,5,1,0.01,"exp1_00001_0005_031_0.01","JC",NA,10000,"DNA","exp1_00001_0005_031_0.01_random_trees.phy","exp1_00001_0005_031_0.01_partitions.nex","exp1_00001_0005_031_0.01_output_alignment"
"32",32,5,1,0.01,"exp1_00001_0005_032_0.01","JC",NA,10000,"DNA","exp1_00001_0005_032_0.01_random_trees.phy","exp1_00001_0005_032_0.01_partitions.nex","exp1_00001_0005_032_0.01_output_alignment"
"33",33,5,1,0.01,"exp1_00001_0005_033_0.01","JC",NA,10000,"DNA","exp1_00001_0005_033_0.01_random_trees.phy","exp1_00001_0005_033_0.01_partitions.nex","exp1_00001_0005_033_0.01_output_alignment"
"34",34,5,1,0.01,"exp1_00001_0005_034_0.01","JC",NA,10000,"DNA","exp1_00001_0005_034_0.01_random_trees.phy","exp1_00001_0005_034_0.01_partitions.nex","exp1_00001_0005_034_0.01_output_alignment"
"35",35,5,1,0.01,"exp1_00001_0005_035_0.01","JC",NA,10000,"DNA","exp1_00001_0005_035_0.01_random_trees.phy","exp1_00001_0005_035_0.01_partitions.nex","exp1_00001_0005_035_0.01_output_alignment"
"36",36,5,1,0.01,"exp1_00001_0005_036_0.01","JC",NA,10000,"DNA","exp1_00001_0005_036_0.01_random_trees.phy","exp1_00001_0005_036_0.01_partitions.nex","exp1_00001_0005_036_0.01_output_alignment"
"37",37,5,1,0.01,"exp1_00001_0005_037_0.01","JC",NA,10000,"DNA","exp1_00001_0005_037_0.01_random_trees.phy","exp1_00001_0005_037_0.01_partitions.nex","exp1_00001_0005_037_0.01_output_alignment"
"38",38,5,1,0.01,"exp1_00001_0005_038_0.01","JC",NA,10000,"DNA","exp1_00001_0005_038_0.01_random_trees.phy","exp1_00001_0005_038_0.01_partitions.nex","exp1_00001_0005_038_0.01_output_alignment"
"39",39,5,1,0.01,"exp1_00001_0005_039_0.01","JC",NA,10000,"DNA","exp1_00001_0005_039_0.01_random_trees.phy","exp1_00001_0005_039_0.01_partitions.nex","exp1_00001_0005_039_0.01_output_alignment"
"40",40,5,1,0.01,"exp1_00001_0005_040_0.01","JC",NA,10000,"DNA","exp1_00001_0005_040_0.01_random_trees.phy","exp1_00001_0005_040_0.01_partitions.nex","exp1_00001_0005_040_0.01_output_alignment"
"41",41,5,1,0.01,"exp1_00001_0005_041_0.01","JC",NA,10000,"DNA","exp1_00001_0005_041_0.01_random_trees.phy","exp1_00001_0005_041_0.01_partitions.nex","exp1_00001_0005_041_0.01_output_alignment"
"42",42,5,1,0.01,"exp1_00001_0005_042_0.01","JC",NA,10000,"DNA","exp1_00001_0005_042_0.01_random_trees.phy","exp1_00001_0005_042_0.01_partitions.nex","exp1_00001_0005_042_0.01_output_alignment"
"43",43,5,1,0.01,"exp1_00001_0005_043_0.01","JC",NA,10000,"DNA","exp1_00001_0005_043_0.01_random_trees.phy","exp1_00001_0005_043_0.01_partitions.nex","exp1_00001_0005_043_0.01_output_alignment"
"44",44,5,1,0.01,"exp1_00001_0005_044_0.01","JC",NA,10000,"DNA","exp1_00001_0005_044_0.01_random_trees.phy","exp1_00001_0005_044_0.01_partitions.nex","exp1_00001_0005_044_0.01_output_alignment"
"45",45,5,1,0.01,"exp1_00001_0005_045_0.01","JC",NA,10000,"DNA","exp1_00001_0005_045_0.01_random_trees.phy","exp1_00001_0005_045_0.01_partitions.nex","exp1_00001_0005_045_0.01_output_alignment"
"46",46,5,1,0.01,"exp1_00001_0005_046_0.01","JC",NA,10000,"DNA","exp1_00001_0005_046_0.01_random_trees.phy","exp1_00001_0005_046_0.01_partitions.nex","exp1_00001_0005_046_0.01_output_alignment"
"47",47,5,1,0.01,"exp1_00001_0005_047_0.01","JC",NA,10000,"DNA","exp1_00001_0005_047_0.01_random_trees.phy","exp1_00001_0005_047_0.01_partitions.nex","exp1_00001_0005_047_0.01_output_alignment"
"48",48,5,1,0.01,"exp1_00001_0005_048_0.01","JC",NA,10000,"DNA","exp1_00001_0005_048_0.01_random_trees.phy","exp1_00001_0005_048_0.01_partitions.nex","exp1_00001_0005_048_0.01_output_alignment"
"49",49,5,1,0.01,"exp1_00001_0005_049_0.01","JC",NA,10000,"DNA","exp1_00001_0005_049_0.01_random_trees.phy","exp1_00001_0005_049_0.01_partitions.nex","exp1_00001_0005_049_0.01_output_alignment"
"50",50,5,1,0.01,"exp1_00001_0005_050_0.01","JC",NA,10000,"DNA","exp1_00001_0005_050_0.01_random_trees.phy","exp1_00001_0005_050_0.01_partitions.nex","exp1_00001_0005_050_0.01_output_alignment"
"51",51,5,1,0.01,"exp1_00001_0005_051_0.01","JC",NA,10000,"DNA","exp1_00001_0005_051_0.01_random_trees.phy","exp1_00001_0005_051_0.01_partitions.nex","exp1_00001_0005_051_0.01_output_alignment"
"52",52,5,1,0.01,"exp1_00001_0005_052_0.01","JC",NA,10000,"DNA","exp1_00001_0005_052_0.01_random_trees.phy","exp1_00001_0005_052_0.01_partitions.nex","exp1_00001_0005_052_0.01_output_alignment"
"53",53,5,1,0.01,"exp1_00001_0005_053_0.01","JC",NA,10000,"DNA","exp1_00001_0005_053_0.01_random_trees.phy","exp1_00001_0005_053_0.01_partitions.nex","exp1_00001_0005_053_0.01_output_alignment"
"54",54,5,1,0.01,"exp1_00001_0005_054_0.01","JC",NA,10000,"DNA","exp1_00001_0005_054_0.01_random_trees.phy","exp1_00001_0005_054_0.01_partitions.nex","exp1_00001_0005_054_0.01_output_alignment"
"55",55,5,1,0.01,"exp1_00001_0005_055_0.01","JC",NA,10000,"DNA","exp1_00001_0005_055_0.01_random_trees.phy","exp1_00001_0005_055_0.01_partitions.nex","exp1_00001_0005_055_0.01_output_alignment"
"56",56,5,1,0.01,"exp1_00001_0005_056_0.01","JC",NA,10000,"DNA","exp1_00001_0005_056_0.01_random_trees.phy","exp1_00001_0005_056_0.01_partitions.nex","exp1_00001_0005_056_0.01_output_alignment"
"57",57,5,1,0.01,"exp1_00001_0005_057_0.01","JC",NA,10000,"DNA","exp1_00001_0005_057_0.01_random_trees.phy","exp1_00001_0005_057_0.01_partitions.nex","exp1_00001_0005_057_0.01_output_alignment"
"58",58,5,1,0.01,"exp1_00001_0005_058_0.01","JC",NA,10000,"DNA","exp1_00001_0005_058_0.01_random_trees.phy","exp1_00001_0005_058_0.01_partitions.nex","exp1_00001_0005_058_0.01_output_alignment"
"59",59,5,1,0.01,"exp1_00001_0005_059_0.01","JC",NA,10000,"DNA","exp1_00001_0005_059_0.01_random_trees.phy","exp1_00001_0005_059_0.01_partitions.nex","exp1_00001_0005_059_0.01_output_alignment"
"60",60,5,1,0.01,"exp1_00001_0005_060_0.01","JC",NA,10000,"DNA","exp1_00001_0005_060_0.01_random_trees.phy","exp1_00001_0005_060_0.01_partitions.nex","exp1_00001_0005_060_0.01_output_alignment"
"61",61,5,1,0.01,"exp1_00001_0005_061_0.01","JC",NA,10000,"DNA","exp1_00001_0005_061_0.01_random_trees.phy","exp1_00001_0005_061_0.01_partitions.nex","exp1_00001_0005_061_0.01_output_alignment"
"62",62,5,1,0.01,"exp1_00001_0005_062_0.01","JC",NA,10000,"DNA","exp1_00001_0005_062_0.01_random_trees.phy","exp1_00001_0005_062_0.01_partitions.nex","exp1_00001_0005_062_0.01_output_alignment"
"63",63,5,1,0.01,"exp1_00001_0005_063_0.01","JC",NA,10000,"DNA","exp1_00001_0005_063_0.01_random_trees.phy","exp1_00001_0005_063_0.01_partitions.nex","exp1_00001_0005_063_0.01_output_alignment"
"64",64,5,1,0.01,"exp1_00001_0005_064_0.01","JC",NA,10000,"DNA","exp1_00001_0005_064_0.01_random_trees.phy","exp1_00001_0005_064_0.01_partitions.nex","exp1_00001_0005_064_0.01_output_alignment"
"65",65,5,1,0.01,"exp1_00001_0005_065_0.01","JC",NA,10000,"DNA","exp1_00001_0005_065_0.01_random_trees.phy","exp1_00001_0005_065_0.01_partitions.nex","exp1_00001_0005_065_0.01_output_alignment"
"66",66,5,1,0.01,"exp1_00001_0005_066_0.01","JC",NA,10000,"DNA","exp1_00001_0005_066_0.01_random_trees.phy","exp1_00001_0005_066_0.01_partitions.nex","exp1_00001_0005_066_0.01_output_alignment"
"67",67,5,1,0.01,"exp1_00001_0005_067_0.01","JC",NA,10000,"DNA","exp1_00001_0005_067_0.01_random_trees.phy","exp1_00001_0005_067_0.01_partitions.nex","exp1_00001_0005_067_0.01_output_alignment"
"68",68,5,1,0.01,"exp1_00001_0005_068_0.01","JC",NA,10000,"DNA","exp1_00001_0005_068_0.01_random_trees.phy","exp1_00001_0005_068_0.01_partitions.nex","exp1_00001_0005_068_0.01_output_alignment"
"69",69,5,1,0.01,"exp1_00001_0005_069_0.01","JC",NA,10000,"DNA","exp1_00001_0005_069_0.01_random_trees.phy","exp1_00001_0005_069_0.01_partitions.nex","exp1_00001_0005_069_0.01_output_alignment"
"70",70,5,1,0.01,"exp1_00001_0005_070_0.01","JC",NA,10000,"DNA","exp1_00001_0005_070_0.01_random_trees.phy","exp1_00001_0005_070_0.01_partitions.nex","exp1_00001_0005_070_0.01_output_alignment"
"71",71,5,1,0.01,"exp1_00001_0005_071_0.01","JC",NA,10000,"DNA","exp1_00001_0005_071_0.01_random_trees.phy","exp1_00001_0005_071_0.01_partitions.nex","exp1_00001_0005_071_0.01_output_alignment"
"72",72,5,1,0.01,"exp1_00001_0005_072_0.01","JC",NA,10000,"DNA","exp1_00001_0005_072_0.01_random_trees.phy","exp1_00001_0005_072_0.01_partitions.nex","exp1_00001_0005_072_0.01_output_alignment"
"73",73,5,1,0.01,"exp1_00001_0005_073_0.01","JC",NA,10000,"DNA","exp1_00001_0005_073_0.01_random_trees.phy","exp1_00001_0005_073_0.01_partitions.nex","exp1_00001_0005_073_0.01_output_alignment"
"74",74,5,1,0.01,"exp1_00001_0005_074_0.01","JC",NA,10000,"DNA","exp1_00001_0005_074_0.01_random_trees.phy","exp1_00001_0005_074_0.01_partitions.nex","exp1_00001_0005_074_0.01_output_alignment"
"75",75,5,1,0.01,"exp1_00001_0005_075_0.01","JC",NA,10000,"DNA","exp1_00001_0005_075_0.01_random_trees.phy","exp1_00001_0005_075_0.01_partitions.nex","exp1_00001_0005_075_0.01_output_alignment"
"76",76,5,1,0.01,"exp1_00001_0005_076_0.01","JC",NA,10000,"DNA","exp1_00001_0005_076_0.01_random_trees.phy","exp1_00001_0005_076_0.01_partitions.nex","exp1_00001_0005_076_0.01_output_alignment"
"77",77,5,1,0.01,"exp1_00001_0005_077_0.01","JC",NA,10000,"DNA","exp1_00001_0005_077_0.01_random_trees.phy","exp1_00001_0005_077_0.01_partitions.nex","exp1_00001_0005_077_0.01_output_alignment"
"78",78,5,1,0.01,"exp1_00001_0005_078_0.01","JC",NA,10000,"DNA","exp1_00001_0005_078_0.01_random_trees.phy","exp1_00001_0005_078_0.01_partitions.nex","exp1_00001_0005_078_0.01_output_alignment"
"79",79,5,1,0.01,"exp1_00001_0005_079_0.01","JC",NA,10000,"DNA","exp1_00001_0005_079_0.01_random_trees.phy","exp1_00001_0005_079_0.01_partitions.nex","exp1_00001_0005_079_0.01_output_alignment"
"80",80,5,1,0.01,"exp1_00001_0005_080_0.01","JC",NA,10000,"DNA","exp1_00001_0005_080_0.01_random_trees.phy","exp1_00001_0005_080_0.01_partitions.nex","exp1_00001_0005_080_0.01_output_alignment"
"81",81,5,1,0.01,"exp1_00001_0005_081_0.01","JC",NA,10000,"DNA","exp1_00001_0005_081_0.01_random_trees.phy","exp1_00001_0005_081_0.01_partitions.nex","exp1_00001_0005_081_0.01_output_alignment"
"82",82,5,1,0.01,"exp1_00001_0005_082_0.01","JC",NA,10000,"DNA","exp1_00001_0005_082_0.01_random_trees.phy","exp1_00001_0005_082_0.01_partitions.nex","exp1_00001_0005_082_0.01_output_alignment"
"83",83,5,1,0.01,"exp1_00001_0005_083_0.01","JC",NA,10000,"DNA","exp1_00001_0005_083_0.01_random_trees.phy","exp1_00001_0005_083_0.01_partitions.nex","exp1_00001_0005_083_0.01_output_alignment"
"84",84,5,1,0.01,"exp1_00001_0005_084_0.01","JC",NA,10000,"DNA","exp1_00001_0005_084_0.01_random_trees.phy","exp1_00001_0005_084_0.01_partitions.nex","exp1_00001_0005_084_0.01_output_alignment"
"85",85,5,1,0.01,"exp1_00001_0005_085_0.01","JC",NA,10000,"DNA","exp1_00001_0005_085_0.01_random_trees.phy","exp1_00001_0005_085_0.01_partitions.nex","exp1_00001_0005_085_0.01_output_alignment"
"86",86,5,1,0.01,"exp1_00001_0005_086_0.01","JC",NA,10000,"DNA","exp1_00001_0005_086_0.01_random_trees.phy","exp1_00001_0005_086_0.01_partitions.nex","exp1_00001_0005_086_0.01_output_alignment"
"87",87,5,1,0.01,"exp1_00001_0005_087_0.01","JC",NA,10000,"DNA","exp1_00001_0005_087_0.01_random_trees.phy","exp1_00001_0005_087_0.01_partitions.nex","exp1_00001_0005_087_0.01_output_alignment"
"88",88,5,1,0.01,"exp1_00001_0005_088_0.01","JC",NA,10000,"DNA","exp1_00001_0005_088_0.01_random_trees.phy","exp1_00001_0005_088_0.01_partitions.nex","exp1_00001_0005_088_0.01_output_alignment"
"89",89,5,1,0.01,"exp1_00001_0005_089_0.01","JC",NA,10000,"DNA","exp1_00001_0005_089_0.01_random_trees.phy","exp1_00001_0005_089_0.01_partitions.nex","exp1_00001_0005_089_0.01_output_alignment"
"90",90,5,1,0.01,"exp1_00001_0005_090_0.01","JC",NA,10000,"DNA","exp1_00001_0005_090_0.01_random_trees.phy","exp1_00001_0005_090_0.01_partitions.nex","exp1_00001_0005_090_0.01_output_alignment"
"91",91,5,1,0.01,"exp1_00001_0005_091_0.01","JC",NA,10000,"DNA","exp1_00001_0005_091_0.01_random_trees.phy","exp1_00001_0005_091_0.01_partitions.nex","exp1_00001_0005_091_0.01_output_alignment"
"92",92,5,1,0.01,"exp1_00001_0005_092_0.01","JC",NA,10000,"DNA","exp1_00001_0005_092_0.01_random_trees.phy","exp1_00001_0005_092_0.01_partitions.nex","exp1_00001_0005_092_0.01_output_alignment"
"93",93,5,1,0.01,"exp1_00001_0005_093_0.01","JC",NA,10000,"DNA","exp1_00001_0005_093_0.01_random_trees.phy","exp1_00001_0005_093_0.01_partitions.nex","exp1_00001_0005_093_0.01_output_alignment"
"94",94,5,1,0.01,"exp1_00001_0005_094_0.01","JC",NA,10000,"DNA","exp1_00001_0005_094_0.01_random_trees.phy","exp1_00001_0005_094_0.01_partitions.nex","exp1_00001_0005_094_0.01_output_alignment"
"95",95,5,1,0.01,"exp1_00001_0005_095_0.01","JC",NA,10000,"DNA","exp1_00001_0005_095_0.01_random_trees.phy","exp1_00001_0005_095_0.01_partitions.nex","exp1_00001_0005_095_0.01_output_alignment"
"96",96,5,1,0.01,"exp1_00001_0005_096_0.01","JC",NA,10000,"DNA","exp1_00001_0005_096_0.01_random_trees.phy","exp1_00001_0005_096_0.01_partitions.nex","exp1_00001_0005_096_0.01_output_alignment"
"97",97,5,1,0.01,"exp1_00001_0005_097_0.01","JC",NA,10000,"DNA","exp1_00001_0005_097_0.01_random_trees.phy","exp1_00001_0005_097_0.01_partitions.nex","exp1_00001_0005_097_0.01_output_alignment"
"98",98,5,1,0.01,"exp1_00001_0005_098_0.01","JC",NA,10000,"DNA","exp1_00001_0005_098_0.01_random_trees.phy","exp1_00001_0005_098_0.01_partitions.nex","exp1_00001_0005_098_0.01_output_alignment"
"99",99,5,1,0.01,"exp1_00001_0005_099_0.01","JC",NA,10000,"DNA","exp1_00001_0005_099_0.01_random_trees.phy","exp1_00001_0005_099_0.01_partitions.nex","exp1_00001_0005_099_0.01_output_alignment"
"100",100,5,1,0.01,"exp1_00001_0005_100_0.01","JC",NA,10000,"DNA","exp1_00001_0005_100_0.01_random_trees.phy","exp1_00001_0005_100_0.01_partitions.nex","exp1_00001_0005_100_0.01_output_alignment"
"101",1,10,1,0.01,"exp1_00001_0010_001_0.01","JC",NA,10000,"DNA","exp1_00001_0010_001_0.01_random_trees.phy","exp1_00001_0010_001_0.01_partitions.nex","exp1_00001_0010_001_0.01_output_alignment"
"102",2,10,1,0.01,"exp1_00001_0010_002_0.01","JC",NA,10000,"DNA","exp1_00001_0010_002_0.01_random_trees.phy","exp1_00001_0010_002_0.01_partitions.nex","exp1_00001_0010_002_0.01_output_alignment"
"103",3,10,1,0.01,"exp1_00001_0010_003_0.01","JC",NA,10000,"DNA","exp1_00001_0010_003_0.01_random_trees.phy","exp1_00001_0010_003_0.01_partitions.nex","exp1_00001_0010_003_0.01_output_alignment"
"104",4,10,1,0.01,"exp1_00001_0010_004_0.01","JC",NA,10000,"DNA","exp1_00001_0010_004_0.01_random_trees.phy","exp1_00001_0010_004_0.01_partitions.nex","exp1_00001_0010_004_0.01_output_alignment"
"105",5,10,1,0.01,"exp1_00001_0010_005_0.01","JC",NA,10000,"DNA","exp1_00001_0010_005_0.01_random_trees.phy","exp1_00001_0010_005_0.01_partitions.nex","exp1_00001_0010_005_0.01_output_alignment"
"106",6,10,1,0.01,"exp1_00001_0010_006_0.01","JC",NA,10000,"DNA","exp1_00001_0010_006_0.01_random_trees.phy","exp1_00001_0010_006_0.01_partitions.nex","exp1_00001_0010_006_0.01_output_alignment"
"107",7,10,1,0.01,"exp1_00001_0010_007_0.01","JC",NA,10000,"DNA","exp1_00001_0010_007_0.01_random_trees.phy","exp1_00001_0010_007_0.01_partitions.nex","exp1_00001_0010_007_0.01_output_alignment"
"108",8,10,1,0.01,"exp1_00001_0010_008_0.01","JC",NA,10000,"DNA","exp1_00001_0010_008_0.01_random_trees.phy","exp1_00001_0010_008_0.01_partitions.nex","exp1_00001_0010_008_0.01_output_alignment"
"109",9,10,1,0.01,"exp1_00001_0010_009_0.01","JC",NA,10000,"DNA","exp1_00001_0010_009_0.01_random_trees.phy","exp1_00001_0010_009_0.01_partitions.nex","exp1_00001_0010_009_0.01_output_alignment"
"110",10,10,1,0.01,"exp1_00001_0010_010_0.01","JC",NA,10000,"DNA","exp1_00001_0010_010_0.01_random_trees.phy","exp1_00001_0010_010_0.01_partitions.nex","exp1_00001_0010_010_0.01_output_alignment"
"111",11,10,1,0.01,"exp1_00001_0010_011_0.01","JC",NA,10000,"DNA","exp1_00001_0010_011_0.01_random_trees.phy","exp1_00001_0010_011_0.01_partitions.nex","exp1_00001_0010_011_0.01_output_alignment"
"112",12,10,1,0.01,"exp1_00001_0010_012_0.01","JC",NA,10000,"DNA","exp1_00001_0010_012_0.01_random_trees.phy","exp1_00001_0010_012_0.01_partitions.nex","exp1_00001_0010_012_0.01_output_alignment"
"113",13,10,1,0.01,"exp1_00001_0010_013_0.01","JC",NA,10000,"DNA","exp1_00001_0010_013_0.01_random_trees.phy","exp1_00001_0010_013_0.01_partitions.nex","exp1_00001_0010_013_0.01_output_alignment"
"114",14,10,1,0.01,"exp1_00001_0010_014_0.01","JC",NA,10000,"DNA","exp1_00001_0010_014_0.01_random_trees.phy","exp1_00001_0010_014_0.01_partitions.nex","exp1_00001_0010_014_0.01_output_alignment"
"115",15,10,1,0.01,"exp1_00001_0010_015_0.01","JC",NA,10000,"DNA","exp1_00001_0010_015_0.01_random_trees.phy","exp1_00001_0010_015_0.01_partitions.nex","exp1_00001_0010_015_0.01_output_alignment"
"116",16,10,1,0.01,"exp1_00001_0010_016_0.01","JC",NA,10000,"DNA","exp1_00001_0010_016_0.01_random_trees.phy","exp1_00001_0010_016_0.01_partitions.nex","exp1_00001_0010_016_0.01_output_alignment"
"117",17,10,1,0.01,"exp1_00001_0010_017_0.01","JC",NA,10000,"DNA","exp1_00001_0010_017_0.01_random_trees.phy","exp1_00001_0010_017_0.01_partitions.nex","exp1_00001_0010_017_0.01_output_alignment"
"118",18,10,1,0.01,"exp1_00001_0010_018_0.01","JC",NA,10000,"DNA","exp1_00001_0010_018_0.01_random_trees.phy","exp1_00001_0010_018_0.01_partitions.nex","exp1_00001_0010_018_0.01_output_alignment"
"119",19,10,1,0.01,"exp1_00001_0010_019_0.01","JC",NA,10000,"DNA","exp1_00001_0010_019_0.01_random_trees.phy","exp1_00001_0010_019_0.01_partitions.nex","exp1_00001_0010_019_0.01_output_alignment"
"120",20,10,1,0.01,"exp1_00001_0010_020_0.01","JC",NA,10000,"DNA","exp1_00001_0010_020_0.01_random_trees.phy","exp1_00001_0010_020_0.01_partitions.nex","exp1_00001_0010_020_0.01_output_alignment"
"121",21,10,1,0.01,"exp1_00001_0010_021_0.01","JC",NA,10000,"DNA","exp1_00001_0010_021_0.01_random_trees.phy","exp1_00001_0010_021_0.01_partitions.nex","exp1_00001_0010_021_0.01_output_alignment"
"122",22,10,1,0.01,"exp1_00001_0010_022_0.01","JC",NA,10000,"DNA","exp1_00001_0010_022_0.01_random_trees.phy","exp1_00001_0010_022_0.01_partitions.nex","exp1_00001_0010_022_0.01_output_alignment"
