"","unique_id","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","Cunningham_test","tree_proportion","input_alignment_path"
"189","WEA17F_BS_rep_88",1644,34,222,1900,0.865263157894737,47.93,50,10.7,89.7,"Non-treelike",0.216040478907535,0.992636548944009,0.811658655772645,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_88/WEA17F_BS_rep_88.fa"
"190","WEA17F_BS_rep_89",1636,37,227,1900,0.861052631578947,47.89,49.9,8.94,89,"Treelike",0.208943030806856,0.993579346477094,0.808255073804598,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_89/WEA17F_BS_rep_89.fa"
"191","WEA17F_BS_rep_9",1642,51,207,1900,0.864210526315789,47.89,50.6,10.8,89.5,"Treelike",0.214242809470181,0.993724585928701,0.817759924108532,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_9/WEA17F_BS_rep_9.fa"
"192","WEA17F_BS_rep_90",1627,45,228,1900,0.856315789473684,47.9,50.6,9.83,89.7,"Treelike",0.211778397040163,0.993240911589378,0.842339645086531,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_90/WEA17F_BS_rep_90.fa"
"193","WEA17F_BS_rep_91",1618,38,244,1900,0.851578947368421,48.75,50.3,9.27,89.4,"Treelike",0.221848619706219,0.992944482195303,0.809307264823163,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_91/WEA17F_BS_rep_91.fa"
"194","WEA17F_BS_rep_92",1620,49,231,1900,0.852631578947368,48.02,50.5,10.6,90.4,"Treelike",0.212956482863201,0.993796225150533,0.820439210623362,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_92/WEA17F_BS_rep_92.fa"
"195","WEA17F_BS_rep_93",1629,51,220,1900,0.857368421052632,47.96,50.3,10.3,89.8,"Treelike",0.212126075976495,0.993296637662364,0.820411337639789,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_93/WEA17F_BS_rep_93.fa"
"196","WEA17F_BS_rep_94",1631,32,237,1900,0.858421052631579,48,51.4,9.11,89.1,"Treelike",0.220118166894624,0.992340509211787,0.80173788598,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_94/WEA17F_BS_rep_94.fa"
"197","WEA17F_BS_rep_95",1634,40,226,1900,0.86,47.98,51.2,10.4,89.1,"Treelike",0.218652989774447,0.992360212147388,0.815345873799149,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_95/WEA17F_BS_rep_95.fa"
"198","WEA17F_BS_rep_96",1631,35,234,1900,0.858421052631579,48.09,50.4,10.5,89.8,"Treelike",0.212449521949954,0.993515737550695,0.838704432965286,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_96/WEA17F_BS_rep_96.fa"
"199","WEA17F_BS_rep_97",1651,34,215,1900,0.868947368421053,46.89,49.4,10.3,89.2,"Treelike",0.208921259429148,0.993695738721444,0.821615848306537,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_97/WEA17F_BS_rep_97.fa"
"200","WEA17F_BS_rep_98",1654,37,209,1900,0.870526315789474,48.11,50.6,10.3,90.2,"Treelike",0.200912763335436,0.993116370887767,0.814179504527896,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_98/WEA17F_BS_rep_98.fa"
"201","WEA17F_BS_rep_99",1627,43,230,1900,0.856315789473684,47.89,50.2,8.57,89.5,"Treelike",0.211942915716376,0.992459782741399,0.840178918135726,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F_BS_rep_99/WEA17F_BS_rep_99.fa"
"202","WEA17F",1715,87,98,1900,0.902631578947368,44.78,45.2,9.51,88,"Non-treelike",0.353597846259091,0.906603332330628,0.68715628269559,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17F/WEA17F.fasta"
