"uid","tree_proportion"
"exp1_00004_0050_004_1e-04","0.664642408173528"
"exp1_00004_0050_005_1e-04","0.817094460779815"
"exp1_00004_0050_006_1e-04","0.754726232048534"
"exp1_00004_0050_007_1e-04","0.835397298179326"
"exp1_00004_0050_008_1e-04","0.4"
"exp1_00004_0050_009_1e-04","0.713206843483165"
"exp1_00004_0050_010_1e-04","0.716030129203968"
"exp1_00004_0100_001_1e-04","0.646881720129884"
"exp1_00004_0100_002_1e-04","0.780269559901143"
"exp1_00004_0100_003_1e-04","0.827367736656711"
"exp1_00004_0100_004_1e-04","0.670379745040914"
"exp1_00004_0100_005_1e-04","0.662747338175322"
"exp1_00004_0100_006_1e-04","0.66986775532695"
"exp1_00004_0100_007_1e-04","0.675675504075481"
"exp1_00004_0100_008_1e-04","0.70019892384695"
"exp1_00004_0100_009_1e-04","0.694128467602371"
"exp1_00004_0100_010_1e-04","0.671496518285381"
"exp1_00005_0005_001_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00005_0005_002_1e-04","0.91304347826087"
"exp1_00005_0005_003_1e-04","1"
"exp1_00005_0005_004_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00005_0005_005_1e-04","0.666666666666667"
"exp1_00005_0005_006_1e-04","0.6"
"exp1_00005_0005_007_1e-04","1"
"exp1_00005_0005_008_1e-04","1"
"exp1_00005_0005_009_1e-04","1"
"exp1_00005_0005_010_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00005_0010_001_1e-04","0.5"
"exp1_00005_0010_002_1e-04","0.704178574013031"
"exp1_00005_0010_003_1e-04","0.375722232798375"
"exp1_00005_0010_004_1e-04","0.717130725196437"
"exp1_00005_0010_005_1e-04","0.5"
"exp1_00005_0010_006_1e-04","0.5"
"exp1_00005_0010_007_1e-04","0.5"
"exp1_00005_0010_008_1e-04","0.5"
"exp1_00005_0010_009_1e-04","1"
"exp1_00005_0010_010_1e-04","0.5"
"exp1_00005_0020_001_1e-04","0.900699682211413"
"exp1_00005_0020_002_1e-04","0.677090296195799"
"exp1_00005_0020_003_1e-04","0.25"
"exp1_00005_0020_004_1e-04","0.709262744036148"
"exp1_00005_0020_005_1e-04","0.75"
"exp1_00005_0020_006_1e-04","0.856801132075548"
"exp1_00005_0020_007_1e-04","0.706494723321558"
"exp1_00005_0020_008_1e-04","1"
"exp1_00005_0020_009_1e-04","0.714318560695081"
"exp1_00005_0020_010_1e-04","0.66287188521812"
"exp1_00005_0050_001_1e-04","0.603312962779303"
"exp1_00005_0050_002_1e-04","0.666666666666667"
"exp1_00005_0050_003_1e-04","0.671292847994625"
"exp1_00005_0050_004_1e-04","0.604831400591538"
"exp1_00005_0050_005_1e-04","0.676094681212263"
"exp1_00005_0050_006_1e-04","0.780328499542129"
"exp1_00005_0050_007_1e-04","0.8"
"exp1_00005_0050_008_1e-04","0.691207913816746"
"exp1_00005_0050_009_1e-04","0.631248965582809"
"exp1_00005_0050_010_1e-04","0.598474185494208"
"exp1_00005_0100_001_1e-04","0.658939255930485"
"exp1_00005_0100_002_1e-04","0.667383867840743"
"exp1_00005_0100_003_1e-04","0.647420154576165"
"exp1_00005_0100_004_1e-04","0.727436871978872"
"exp1_00005_0100_005_1e-04","0.785241345079419"
"exp1_00005_0100_006_1e-04","0.617098299872808"
"exp1_00005_0100_007_1e-04","0.754921011140943"
"exp1_00005_0100_008_1e-04","0.612652652079446"
"exp1_00005_0100_009_1e-04","0.760410436925019"
"exp1_00005_0100_010_1e-04","0.770607546649259"
"exp1_00008_0005_001_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00008_0005_002_1e-04","0.8"
"exp1_00008_0005_003_1e-04","0.5"
"exp1_00008_0005_004_1e-04","0.75"
"exp1_00008_0005_005_1e-04","1"
"exp1_00008_0005_006_1e-04","1"
"exp1_00008_0005_007_1e-04","1"
"exp1_00008_0005_008_1e-04","0.5"
"exp1_00008_0005_009_1e-04","1"
"exp1_00008_0005_010_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00008_0010_001_1e-04","1"
"exp1_00008_0010_002_1e-04","0.6"
"exp1_00008_0010_003_1e-04","0.779572217196151"
"exp1_00008_0010_004_1e-04","1"
"exp1_00008_0010_005_1e-04","0.502139483565414"
"exp1_00008_0010_006_1e-04","0.5"
"exp1_00008_0010_007_1e-04","1"
"exp1_00008_0010_008_1e-04","0.744759101857497"
"exp1_00008_0010_009_1e-04","0.857142857142857"
"exp1_00008_0010_010_1e-04","0.6"
"exp1_00008_0020_001_1e-04","0.666666666666667"
"exp1_00008_0020_002_1e-04","0.519540459929891"
"exp1_00008_0020_003_1e-04","0.819384938280143"
"exp1_00008_0020_004_1e-04","1"
"exp1_00008_0020_005_1e-04","0.686422743343633"
"exp1_00008_0020_006_1e-04","0.668451776988304"
