"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
1,1," (0.36,0.377)",0.36,0.377,"  1 3 4 5 6 7 8 9 10",FALSE
2,2," (-0.007,0.011)",-0.007,0.011,"  1 4 5 6 7 8 9 10",TRUE
3,4," (-0.006,0.006)",-0.006,0.006,"  1 4 5 8 9 10",TRUE
4,2," (-0.007,0.007)",-0.007,0.007,"  1 4",TRUE
5,1," (0.367,0.381)",0.367,0.381,"  1",FALSE
6,1," (0.36,0.375)",0.36,0.375,"  1 2 4 5 6 7 8 9 10",FALSE
7,2," (-0.009,0.009)",-0.009,0.009,"  1 2 4 5 6 8 9 10",TRUE
8,3," (-0.006,0.006)",-0.006,0.006,"  1 2 4 5 8 9 10",TRUE
9,4," (-0.002,0.002)",-0.002,0.002,"  1 2 4 8 9 10",TRUE
10,1," (0.36,0.381)",0.36,0.381,"  1 2 3 4 5 6 8 9 10",FALSE
11,2," (-0.008,0.011)",-0.008,0.011,"  1 2 3 4 5 8 9 10",TRUE
12,3," (-0.005,0.005)",-0.005,0.005,"  1 2 3",TRUE
13,1," (0.354,0.371)",0.354,0.371,"  1 2 3 4 5 7 8 9 10",FALSE
14,4," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 7 10",TRUE
15,5," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 7",TRUE
16,1," (0.363,0.376)",0.363,0.376,"  1 2 3 4 6 7 8 9 10",FALSE
17,5," (-0.004,0.004)",-0.004,0.004,"  1 2 3 6 7",TRUE
18,1," (0.196,0.215)",0.196,0.215,"  1 2 3 4 5 6 7 9 10",FALSE
19,2," (0.117,0.136)",0.117,0.136,"  1 2 3 4 5 6 7 10",FALSE
20,3," (0.024,0.041)",0.024,0.041,"  1 2 3 4 5 6 7",FALSE
21,1," (0.161,0.179)",0.161,0.179,"  1 2 3 4 5 6 7 8 10",FALSE
22,2," (0.022,0.041)",0.022,0.041,"  1 2 3 4 5 6 7 8",FALSE
23,3," (-0.006,0.006)",-0.006,0.006,"  1 2 3 5 6 7 8",TRUE
24,1," (0.294,0.314)",0.294,0.314,"  1 2 3 4 5 6 7 8 9",FALSE
25,1," (0.36,0.374)",0.36,0.374,"  1 2 3 5 6 7 8 9 10",FALSE
26,3," (-0.003,0.003)",-0.003,0.003,"  1 4 6 7 8 9 10",TRUE
27,4," (-0.002,0.002)",-0.002,0.002,"  1 4 6 8 9 10",TRUE
28,2," (-0.005,0.005)",-0.005,0.005,"  1 2 4 6 7 8 9 10",TRUE
29,3," (-0.002,0.002)",-0.002,0.002,"  1 2 4",TRUE
30,2," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 6 8 9 10",TRUE
31,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 10",TRUE
32,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 7 9 10",TRUE
33,3," (-0.01,0.01)",-0.01,0.01,"  1 2 3 4 5 7 10",TRUE
34,4," (-0.004,0.004)",-0.004,0.004,"  1 2 3 5 6 7",TRUE
35,3," (-0.004,0.004)",-0.004,0.004,"  1 4 8",TRUE
36,3," (-0.004,0.004)",-0.004,0.004,"  1 2 4 6 8 9 10",TRUE
37,4," (-0.005,0.005)",-0.005,0.005,"  1 2 4 8",TRUE
38,4," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 5 7",TRUE
39,3," (-0.005,0.005)",-0.005,0.005,"  1 2 3 5 6 7 10",TRUE
40,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 6 8 9",TRUE
41,2," (-0.005,0.005)",-0.005,0.005,"  1 6",TRUE
42,4," (-0.009,0.009)",-0.009,0.009,"  1 3 6 7",TRUE
43,3," (-0.002,0.002)",-0.002,0.002,"  1 6 7",TRUE
44,2," (-0.002,0.002)",-0.002,0.002,"  1 7",TRUE
45,3," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 6 7 10",TRUE
46,2," (-0.008,0.008)",-0.008,0.008,"  1 2 3 6 7 8 9 10",TRUE
47,2," (-0.008,0.008)",-0.008,0.008,"  1 3 5 6 7 8 9 10",TRUE
48,2," (-0.006,0.006)",-0.006,0.006,"  1 2 4 5 7 8 9 10",TRUE
49,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 8",TRUE
50,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 6 8 9 10",TRUE
51,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 8",TRUE
52,4," (-0.003,0.003)",-0.003,0.003,"  1 2 3 6 7 8",TRUE
53,2," (-0.007,0.007)",-0.007,0.007,"  1 3 4 5 6 7 9 10",TRUE
54,3," (-0.003,0.003)",-0.003,0.003,"  1 3 6",TRUE
55,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4",TRUE
56,3," (-0.001,0.001)",-0.001,0.001,"  1 3 6 7 8 9 10",TRUE
57,2," (-0.008,0.008)",-0.008,0.008,"  1 8",TRUE
58,3," (-0.003,0.003)",-0.003,0.003,"  1 5 6 7 8 9 10",TRUE
59,5," (-0.006,0.006)",-0.006,0.006,"  1 5 8 9 10",TRUE
60,2," (-0.005,0.005)",-0.005,0.005,"  1 5",TRUE
61,3," (-0.005,0.005)",-0.005,0.005,"  1 4 5 6 8 9 10",TRUE
62,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 5 7 8",TRUE
63,2," (-0.006,0.006)",-0.006,0.006,"  1 2 3 5 6 8 9 10",TRUE
64,4," (-0.001,0.001)",-0.001,0.001,"  1 5 6 8 9 10",TRUE
65,4," (-0.001,0.001)",-0.001,0.001,"  1 4 5 7 9 10",TRUE
66,3," (-0.001,0.001)",-0.001,0.001,"  1 3 4 5 7 9 10",TRUE
67,4," (-0.002,0.002)",-0.002,0.002,"  1 3 4 5 7 10",TRUE
68,5," (-0.001,0.001)",-0.001,0.001,"  1 2 4 5 10",TRUE
69,2," (-0.005,0.005)",-0.005,0.005,"  1 2",TRUE
70,4," (0,0)",0,0,"  1 2 3 5",TRUE
71,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 5 6 7 8 9",TRUE
72,2," (-0.004,0.004)",-0.004,0.004,"  1 3 4 6 7 8 9 10",TRUE
73,4," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 6 7",TRUE
74,4," (-0.004,0.004)",-0.004,0.004,"  1 2 3 7",TRUE
75,3," (-0.005,0.005)",-0.005,0.005,"  1 2 8",TRUE
76,5," (0,0)",0,0,"  1 2 8 9 10",TRUE
77,4," (-0.003,0.003)",-0.003,0.003,"  1 8 9 10",TRUE
78,5," (-0.003,0.003)",-0.003,0.003,"  1 4 8 9 10",TRUE
79,5," (-0.001,0.001)",-0.001,0.001,"  1 2 4 8 9",TRUE
80,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 7 8 9 10",TRUE
81,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 6 7 8",TRUE
82,5," (-0.002,0.002)",-0.002,0.002,"  1 4 5 8 9",TRUE
83,5," (-0.005,0.005)",-0.005,0.005,"  1 3 4 5 7",TRUE
84,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 8 9 10",TRUE
85,3," (-0.002,0.002)",-0.002,0.002,"  1 3 5 6 7 9 10",TRUE
86,5," (-0.002,0.002)",-0.002,0.002,"  1 3 5 6 7",TRUE
87,4," (-0.003,0.003)",-0.003,0.003,"  1 2 6 8",TRUE
88,4," (-0.002,0.002)",-0.002,0.002,"  1 2 6 7",TRUE
89,3," (-0.003,0.003)",-0.003,0.003,"  1 3 7",TRUE
90,4," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 5 8",TRUE
91,2," (-0.007,0.007)",-0.007,0.007,"  1 3",TRUE
92,4," (-0.005,0.005)",-0.005,0.005,"  1 2 3 6 7 10",TRUE
93,5," (-0.002,0.002)",-0.002,0.002,"  1 3 6 7 10",TRUE
94,4," (-0.004,0.004)",-0.004,0.004,"  1 6 7 8 9 10",TRUE
95,3," (-0.003,0.003)",-0.003,0.003,"  1 4 5",TRUE
96,4," (-0.003,0.003)",-0.003,0.003,"  1 2 3 4 5 10",TRUE
97,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 7 8 9",TRUE
98,4," (-0.004,0.004)",-0.004,0.004,"  1 2 3 6",TRUE
99,4," (-0.001,0.001)",-0.001,0.001,"  1 6 8 9",TRUE
100,3," (-0.003,0.003)",-0.003,0.003,"  1 4 5 7 8 9 10",TRUE
101,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 5 6 7 9 10",TRUE
102,4," (-0.004,0.004)",-0.004,0.004,"  1 3 6 8 9 10",TRUE
103,5," (-0.003,0.003)",-0.003,0.003,"  1 6 8 9 10",TRUE
104,4," (-0.002,0.002)",-0.002,0.002,"  1 3 4 8 9 10",TRUE
105,2," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 7 8 9 10",TRUE
106,3," (-0.002,0.002)",-0.002,0.002,"  1 4 7",TRUE
107,4," (-0.005,0.005)",-0.005,0.005,"  1 4 5 7",TRUE
108,5," (-0.001,0.001)",-0.001,0.001,"  1 4 5 7 10",TRUE
109,3," (-0.003,0.003)",-0.003,0.003,"  1 5 8",TRUE
110,5," (-0.003,0.003)",-0.003,0.003,"  1 5 6 8 9",TRUE
111,4," (-0.001,0.001)",-0.001,0.001,"  1 2 5 6 8 9",TRUE
112,5," (0,0)",0,0,"  1 2 5 6 8",TRUE
113,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 5 6 8 9",TRUE
114,2," (-0.005,0.005)",-0.005,0.005,"  1 10",TRUE
115,4," (-0.004,0.004)",-0.004,0.004,"  1 3 4 7",TRUE
116,3," (-0.002,0.002)",-0.002,0.002,"  1 3 4 6 7 9 10",TRUE
117,3," (-0.004,0.004)",-0.004,0.004,"  1 6 8",TRUE
118,5," (-0.003,0.003)",-0.003,0.003,"  1 2 4 5 7",TRUE
119,5," (-0.006,0.006)",-0.006,0.006,"  1 2 3 5 7",TRUE
120,3," (0,0)",0,0,"  1 2 6",TRUE
121,3," (-0.002,0.002)",-0.002,0.002,"  1 3 10",TRUE
122,3," (-0.002,0.002)",-0.002,0.002,"  1 3 5 6 8 9 10",TRUE
123,4," (-0.003,0.003)",-0.003,0.003,"  1 2 5 8 9 10",TRUE
124,4," (-0.002,0.002)",-0.002,0.002,"  1 3 4 5 6 7",TRUE
125,5," (-0.002,0.002)",-0.002,0.002,"  1 3 4 6 7",TRUE
126,2," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 6 7 8 9",TRUE
127,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 5 8 9 10",TRUE
128,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 5 7 8 9 10",TRUE
129,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 6 7 8 9",TRUE
130,3," (0,0)",0,0,"  1 2 6 7 8 9 10",TRUE
131,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 8 9",TRUE
132,4," (-0.002,0.002)",-0.002,0.002,"  1 4 5 8",TRUE
133,3," (-0.002,0.002)",-0.002,0.002,"  1 4 5 6 7 8 9",TRUE
134,2," (-0.004,0.004)",-0.004,0.004,"  1 3 4 5 6 8 9 10",TRUE
135,4," (-0.001,0.001)",-0.001,0.001,"  1 4 8 9",TRUE
136,4," (-0.001,0.001)",-0.001,0.001,"  1 4 5 6 8 9",TRUE
137,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 5 8",TRUE
138,5," (0,0)",0,0,"  1 6 7 8 9",TRUE
139,4," (-0.001,0.001)",-0.001,0.001,"  1 6 7 8",TRUE
140,3," (-0.004,0.004)",-0.004,0.004,"  1 3 5",TRUE
141,4," (0,0)",0,0,"  1 2 3 8 9 10",TRUE
142,3," (-0.003,0.003)",-0.003,0.003,"  1 2 5 6 8 9 10",TRUE
143,4," (-0.003,0.003)",-0.003,0.003,"  1 2 4 5 7 8",TRUE
