"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
144,5," (-0.003,0.003)",-0.003,0.003,"  1 2 4 5 8",TRUE
145,4," (0,0)",0,0,"  1 2 4 7",TRUE
146,5," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5",TRUE
147,3," (0,0)",0,0,"  1 3 4",TRUE
148,2," (-0.001,0.001)",-0.001,0.001,"  1 2 5 6 7 8 9 10",TRUE
149,3," (-0.001,0.001)",-0.001,0.001,"  1 8 9",TRUE
150,5," (0,0)",0,0,"  1 5 6 7 8",TRUE
151,2," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 6 7 9 10",TRUE
152,4," (-0.001,0.001)",-0.001,0.001,"  1 2 5 8",TRUE
153,4," (-0.003,0.003)",-0.003,0.003,"  1 3 4 10",TRUE
154,3," (-0.002,0.002)",-0.002,0.002,"  1 3 4 6 8 9 10",TRUE
155,3," (-0.001,0.001)",-0.001,0.001,"  1 3 5 6 7 8 9",TRUE
156,4," (-0.002,0.002)",-0.002,0.002,"  1 2 6 8 9 10",TRUE
157,5," (-0.003,0.003)",-0.003,0.003,"  1 2 6 8 9",TRUE
158,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 10",TRUE
159,4," (-0.001,0.001)",-0.001,0.001,"  1 2 4 5",TRUE
160,3," (-0.002,0.002)",-0.002,0.002,"  1 4 10",TRUE
161,5," (-0.001,0.001)",-0.001,0.001,"  1 2 4 6 8",TRUE
162,4," (-0.002,0.002)",-0.002,0.002,"  1 3 5 6 7 10",TRUE
163,4," (0,0)",0,0,"  1 2 3 4 7 8",TRUE
164,3," (-0.002,0.002)",-0.002,0.002,"  1 5 10",TRUE
165,3," (-0.002,0.002)",-0.002,0.002,"  1 3 4 5 8 9 10",TRUE
166,4," (-0.002,0.002)",-0.002,0.002,"  1 3 4 6 8 9",TRUE
167,4," (0,0)",0,0,"  1 2 3 5 6 8",TRUE
168,3," (-0.001,0.001)",-0.001,0.001,"  1 4 6",TRUE
169,5," (-0.001,0.001)",-0.001,0.001,"  1 4 5 6 7",TRUE
170,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 10",TRUE
