"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
1,1," (0.107,0.125)",0.107,0.125,"  1 3 4 5 6 7 8 9 10",FALSE
2,2," (-0.002,0.009)",-0.002,0.009,"  1 4 5 6 7 8 9 10",TRUE
3,1," (0.114,0.128)",0.114,0.128,"  1",FALSE
4,1," (0.33,0.35)",0.33,0.35,"  1 2 4 5 6 7 8 9 10",FALSE
5,2," (-0.002,0.014)",-0.002,0.014,"  1 2 4 5 6 7 9 10",TRUE
6,5," (-0.005,0.005)",-0.005,0.005,"  1 2 7 9 10",TRUE
7,4," (-0.003,0.014)",-0.003,0.014,"  1 2 9 10",TRUE
8,3," (-0.003,0.009)",-0.003,0.009,"  1 2 10",TRUE
9,2," (0.219,0.244)",0.219,0.244,"  1 2",FALSE
10,1," (0.344,0.36)",0.344,0.36,"  1 2 3 4 5 6 7 9 10",FALSE
11,3," (-0.007,0.01)",-0.007,0.01,"  1 2 3 6 7 9 10",TRUE
12,5," (0,0.019)",0,0.019,"  1 2 3 9 10",TRUE
13,4," (-0.004,0.006)",-0.004,0.006,"  1 2 3 10",TRUE
14,3," (-0.001,0.014)",-0.001,0.014,"  1 2 3",TRUE
15,1," (0.31,0.326)",0.31,0.326,"  1 2 3 5 6 7 8 9 10",FALSE
16,2," (0.037,0.054)",0.037,0.054,"  1 2 3 6 7 8 9 10",FALSE
17,4," (-0.007,0.012)",-0.007,0.012,"  1 2 3 8 9 10",TRUE
18,4," (-0.001,0.014)",-0.001,0.014,"  1 2 3 8",TRUE
19,1," (0.294,0.311)",0.294,0.311,"  1 2 3 4 6 7 8 9 10",FALSE
20,2," (-0.003,0.008)",-0.003,0.008,"  1 2 3 4 7 8 9 10",TRUE
21,3," (0.001,0.023)",0.001,0.023,"  1 2 3 4 8 9 10",FALSE
22,1," (0.219,0.239)",0.219,0.239,"  1 2 3 4 5 7 8 9 10",FALSE
23,2," (0.109,0.128)",0.109,0.128,"  1 2 3 4 5 8 9 10",FALSE
24,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 5 8 10",TRUE
25,4," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 5 8",TRUE
26,1," (0.225,0.241)",0.225,0.241,"  1 2 3 4 5 6 8 9 10",FALSE
27,1," (0.12,0.135)",0.12,0.135,"  1 2 3 4 5 6 7 8 10",FALSE
28,2," (0.223,0.245)",0.223,0.245,"  1 2 3 4 5 6 7 8",FALSE
29,1," (0.115,0.132)",0.115,0.132,"  1 2 3 4 5 6 7 8 9",FALSE
30,5," (-0.002,0.002)",-0.002,0.002,"  1 6 7 9 10",TRUE
31,3," (-0.005,0.005)",-0.005,0.005,"  1 2 5 6 7 9 10",TRUE
32,4," (-0.006,0.006)",-0.006,0.006,"  1 2 6 7 9 10",TRUE
33,3," (-0.003,0.003)",-0.003,0.003,"  1 2 3 6 8 9 10",TRUE
34,5," (-0.003,0.003)",-0.003,0.003,"  1 2 3 8 10",TRUE
35,2," (-0.001,0.001)",-0.001,0.001,"  1 3",TRUE
36,4," (-0.001,0.001)",-0.001,0.001,"  1 3 4 5 6 8",TRUE
37,2," (-0.004,0.004)",-0.004,0.004,"  1 3 4 5 6 7 8 9",TRUE
38,4," (-0.003,0.003)",-0.003,0.003,"  1 5 6 7 9 10",TRUE
39,4," (-0.006,0.006)",-0.006,0.006,"  1 2 3 7 9 10",TRUE
40,2," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 5 6 8 10",TRUE
41,3," (-0.004,0.004)",-0.004,0.004,"  1 2 3 7 8 9 10",TRUE
42,3," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 5 6 8",TRUE
43,3," (-0.002,0.002)",-0.002,0.002,"  1 9 10",TRUE
44,3," (-0.003,0.003)",-0.003,0.003,"  1 4 5 6 7 9 10",TRUE
45,5," (-0.003,0.003)",-0.003,0.003,"  1 2 4 9 10",TRUE
