"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
46,4," (-0.007,0.007)",-0.007,0.007,"  1 2 3 4 9 10",TRUE
47,4," (-0.002,0.002)",-0.002,0.002,"  1 3 5 6 7 8",TRUE
48,3," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 6 7 8",TRUE
49,3," (-0.005,0.005)",-0.005,0.005,"  1 2 3 5 6 7 8",TRUE
50,5," (-0.004,0.004)",-0.004,0.004,"  1 2 3 4 8",TRUE
51,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 6 9 10",TRUE
52,2," (0,0)",0,0,"  1 10",TRUE
53,3," (-0.001,0.001)",-0.001,0.001,"  1 3 8",TRUE
54,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 7 8",TRUE
55,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 7 8",TRUE
56,2," (-0.003,0.003)",-0.003,0.003,"  1 2 3 5 6 7 8 10",TRUE
57,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 8 9",TRUE
58,3," (-0.005,0.005)",-0.005,0.005,"  1 2 4 5 7 9 10",TRUE
59,2," (-0.003,0.003)",-0.003,0.003,"  1 2 3 4 6 8 9 10",TRUE
60,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 7 9 10",TRUE
61,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 7 8 10",TRUE
62,4," (-0.001,0.001)",-0.001,0.001,"  1 4 5 6 9 10",TRUE
63,4," (-0.003,0.003)",-0.003,0.003,"  1 2 4 5 9 10",TRUE
64,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 9 10",TRUE
65,2," (-0.004,0.004)",-0.004,0.004,"  1 2 3 5 6 7 9 10",TRUE
66,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 6 8 9",TRUE
67,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 8 9",TRUE
68,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 8 9",TRUE
69,3," (-0.001,0.001)",-0.001,0.001,"  1 2 4 5 8 9 10",TRUE
70,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 6 7 10",TRUE
71,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 6 7",TRUE
72,4," (0,0)",0,0,"  1 2 3 4 8 10",TRUE
