"uid","tree_proportion"
"exp2_00250_0010_001_0.1_0_Ancient",0.565133801119351
"exp2_00250_0010_002_0.1_0_Ancient",0.671920721761182
"exp2_00250_0010_003_0.1_0_Ancient",0.692269258187599
"exp2_00250_0010_004_0.1_0_Ancient",0.444509631555038
"exp2_00250_0010_005_0.1_0_Ancient",0.706715696135086
"exp2_00250_0010_006_0.1_0_Ancient",0.737720644412945
"exp2_00250_0010_007_0.1_0_Ancient",0.650048808665646
"exp2_00250_0010_008_0.1_0_Ancient",0.762637966655859
"exp2_00250_0010_009_0.1_0_Ancient",0.678594680356004
"exp2_00250_0010_010_0.1_0_Ancient",0.586192937469093
"exp2_00250_0020_001_0.1_0_Ancient",0.705754475955896
"exp2_00250_0020_002_0.1_0_Ancient",0.678911003951643
"exp2_00250_0020_003_0.1_0_Ancient",0.665471108274568
"exp2_00250_0020_004_0.1_0_Ancient",0.61313298611641
"exp2_00250_0020_005_0.1_0_Ancient",0.673034594964493
"exp2_00250_0020_006_0.1_0_Ancient",0.69644631398616
"exp2_00250_0020_007_0.1_0_Ancient",0.677053559373791
"exp2_00250_0020_008_0.1_0_Ancient",0.484729681107396
"exp2_00250_0020_009_0.1_0_Ancient",0.658382666727948
"exp2_00250_0020_010_0.1_0_Ancient",0.567612959512711
"exp2_00250_0050_001_0.1_0_Ancient",0.591982685961906
"exp2_00250_0050_002_0.1_0_Ancient",0.576138022634457
"exp2_00250_0050_003_0.1_0_Ancient",0.558766935733975
"exp2_00250_0050_004_0.1_0_Ancient",0.597910356051714
"exp2_00250_0050_005_0.1_0_Ancient",0.592870913861621
"exp2_00250_0050_006_0.1_0_Ancient",0.549798565030845
"exp2_00250_0050_007_0.1_0_Ancient",0.561603067347913
"exp2_00250_0050_008_0.1_0_Ancient",0.604559870645936
"exp2_00250_0050_009_0.1_0_Ancient",0.529885720227533
"exp2_00250_0050_010_0.1_0_Ancient",0.575154349797914
"exp2_00250_0100_001_0.1_0_Ancient",0.543930657473176
"exp2_00250_0100_002_0.1_0_Ancient",0.556682362985794
"exp2_00250_0100_003_0.1_0_Ancient",0.556635528943664
"exp2_00250_0100_004_0.1_0_Ancient",0.570242188921424
"exp2_00250_0100_005_0.1_0_Ancient",0.567589797055407
"exp2_00250_0100_006_0.1_0_Ancient",0.53341199538126
"exp2_00250_0100_007_0.1_0_Ancient",0.58146845961377
"exp2_00250_0100_008_0.1_0_Ancient",0.556904537809797
"exp2_00250_0100_009_0.1_0_Ancient",0.566810028964181
"exp2_00250_0100_010_0.1_0_Ancient",0.529972061600209
"exp2_00250_0010_001_1_0_Ancient",0.914427590533652
"exp2_00250_0010_002_1_0_Ancient",0.96119759783824
"exp2_00250_0010_003_1_0_Ancient",0.935670010955989
"exp2_00250_0010_004_1_0_Ancient",0.855389218612977
"exp2_00250_0010_005_1_0_Ancient",0.973565196884265
"exp2_00250_0010_006_1_0_Ancient",0.968290440805659
"exp2_00250_0010_007_1_0_Ancient",0.906031383246987
"exp2_00250_0010_008_1_0_Ancient",0.975740860371706
"exp2_00250_0010_009_1_0_Ancient",0.940107729517622
"exp2_00250_0010_010_1_0_Ancient",0.851749815745344
"exp2_00250_0020_001_1_0_Ancient",0.892069068220028
"exp2_00250_0020_002_1_0_Ancient",0.818665949872477
"exp2_00250_0020_003_1_0_Ancient",0.923561759061231
"exp2_00250_0020_004_1_0_Ancient",0.897470640421547
"exp2_00250_0020_005_1_0_Ancient",0.893344291941967
"exp2_00250_0020_006_1_0_Ancient",0.879958664078485
"exp2_00250_0020_007_1_0_Ancient",0.949618320298154
"exp2_00250_0020_008_1_0_Ancient",0.893712642106346
"exp2_00250_0020_009_1_0_Ancient",0.864974946076574
"exp2_00250_0020_010_1_0_Ancient",0.957943703563439
"exp2_00250_0050_001_1_0_Ancient",0.821732308034526
"exp2_00250_0050_002_1_0_Ancient",0.795314963045301
"exp2_00250_0050_003_1_0_Ancient",0.796795144142338
"exp2_00250_0050_004_1_0_Ancient",0.85416834312738
"exp2_00250_0050_005_1_0_Ancient",0.808137706602011
"exp2_00250_0050_006_1_0_Ancient",0.735064455784627
