"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits"
163,63,20,1,0.01,"expA1_00001_0020_063_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.01_10kbp/expA1_00001_0020_063_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.01_10kbp/expA1_00001_0020_063_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.01_10kbp/expA1_00001_0020_063_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",446,20,426,18,8,10,37,20,17
1163,63,20,1,0.1,"expA1_00001_0020_063_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.1_10kbp/expA1_00001_0020_063_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.1_10kbp/expA1_00001_0020_063_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_0.1_10kbp/expA1_00001_0020_063_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",331,20,311,35,20,15,37,20,17
2163,63,20,1,1,"expA1_00001_0020_063_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_1_10kbp/expA1_00001_0020_063_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_1_10kbp/expA1_00001_0020_063_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_063_1_10kbp/expA1_00001_0020_063_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",183,20,163,46,20,26,37,20,17
164,64,20,1,0.01,"expA1_00001_0020_064_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.01_10kbp/expA1_00001_0020_064_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.01_10kbp/expA1_00001_0020_064_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.01_10kbp/expA1_00001_0020_064_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",463,20,443,30,17,13,37,20,17
1164,64,20,1,0.1,"expA1_00001_0020_064_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.1_10kbp/expA1_00001_0020_064_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.1_10kbp/expA1_00001_0020_064_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_0.1_10kbp/expA1_00001_0020_064_0.1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",204,20,184,42,20,22,37,20,17
2164,64,20,1,1,"expA1_00001_0020_064_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_1_10kbp/expA1_00001_0020_064_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_1_10kbp/expA1_00001_0020_064_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_064_1_10kbp/expA1_00001_0020_064_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",460,20,440,35,20,15,37,20,17
165,65,20,1,0.01,"expA1_00001_0020_065_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.01_10kbp/expA1_00001_0020_065_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.01_10kbp/expA1_00001_0020_065_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.01_10kbp/expA1_00001_0020_065_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",447,20,427,23,13,10,37,20,17
1165,65,20,1,0.1,"expA1_00001_0020_065_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.1_10kbp/expA1_00001_0020_065_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.1_10kbp/expA1_00001_0020_065_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_0.1_10kbp/expA1_00001_0020_065_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",303,20,283,33,19,14,37,20,17
2165,65,20,1,1,"expA1_00001_0020_065_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_1_10kbp/expA1_00001_0020_065_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_1_10kbp/expA1_00001_0020_065_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_065_1_10kbp/expA1_00001_0020_065_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",155,20,135,53,20,33,37,20,17
166,66,20,1,0.01,"expA1_00001_0020_066_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.01_10kbp/expA1_00001_0020_066_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.01_10kbp/expA1_00001_0020_066_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.01_10kbp/expA1_00001_0020_066_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",385,20,365,16,6,10,37,20,17
1166,66,20,1,0.1,"expA1_00001_0020_066_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.1_10kbp/expA1_00001_0020_066_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.1_10kbp/expA1_00001_0020_066_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_0.1_10kbp/expA1_00001_0020_066_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",380,20,360,37,20,17,37,20,17
2166,66,20,1,1,"expA1_00001_0020_066_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_1_10kbp/expA1_00001_0020_066_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_1_10kbp/expA1_00001_0020_066_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_066_1_10kbp/expA1_00001_0020_066_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",170,20,150,39,20,19,37,20,17
167,67,20,1,0.01,"expA1_00001_0020_067_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.01_10kbp/expA1_00001_0020_067_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.01_10kbp/expA1_00001_0020_067_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.01_10kbp/expA1_00001_0020_067_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",523,20,503,25,11,14,37,20,17
1167,67,20,1,0.1,"expA1_00001_0020_067_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.1_10kbp/expA1_00001_0020_067_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.1_10kbp/expA1_00001_0020_067_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_0.1_10kbp/expA1_00001_0020_067_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",164,20,144,35,20,15,37,20,17
2167,67,20,1,1,"expA1_00001_0020_067_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_1_10kbp/expA1_00001_0020_067_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_1_10kbp/expA1_00001_0020_067_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_067_1_10kbp/expA1_00001_0020_067_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",151,20,131,39,20,19,37,20,17
168,68,20,1,0.01,"expA1_00001_0020_068_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.01_10kbp/expA1_00001_0020_068_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.01_10kbp/expA1_00001_0020_068_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.01_10kbp/expA1_00001_0020_068_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",441,20,421,31,18,13,37,20,17
1168,68,20,1,0.1,"expA1_00001_0020_068_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.1_10kbp/expA1_00001_0020_068_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.1_10kbp/expA1_00001_0020_068_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_0.1_10kbp/expA1_00001_0020_068_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",466,20,446,34,19,15,37,20,17
2168,68,20,1,1,"expA1_00001_0020_068_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_1_10kbp/expA1_00001_0020_068_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_1_10kbp/expA1_00001_0020_068_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_068_1_10kbp/expA1_00001_0020_068_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",228,20,208,36,20,16,37,20,17
169,69,20,1,0.01,"expA1_00001_0020_069_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.01_10kbp/expA1_00001_0020_069_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.01_10kbp/expA1_00001_0020_069_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.01_10kbp/expA1_00001_0020_069_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",430,20,410,27,14,13,37,20,17
1169,69,20,1,0.1,"expA1_00001_0020_069_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.1_10kbp/expA1_00001_0020_069_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.1_10kbp/expA1_00001_0020_069_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_0.1_10kbp/expA1_00001_0020_069_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",291,20,271,34,19,15,37,20,17
2169,69,20,1,1,"expA1_00001_0020_069_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_1_10kbp/expA1_00001_0020_069_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_1_10kbp/expA1_00001_0020_069_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_069_1_10kbp/expA1_00001_0020_069_1_10kbp_output_alignment.fa",FALSE,20,"Non-treelike",653,20,633,31,20,11,37,20,17
170,70,20,1,0.01,"expA1_00001_0020_070_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.01_10kbp/expA1_00001_0020_070_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.01_10kbp/expA1_00001_0020_070_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.01_10kbp/expA1_00001_0020_070_0.01_10kbp_output_alignment.fa",FALSE,20,"Treelike",381,20,361,22,13,9,37,20,17
1170,70,20,1,0.1,"expA1_00001_0020_070_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.1_10kbp/expA1_00001_0020_070_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.1_10kbp/expA1_00001_0020_070_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0020_070_0.1_10kbp/expA1_00001_0020_070_0.1_10kbp_output_alignment.fa",FALSE,20,"Treelike",331,20,311,34,19,15,37,20,17
