"","num_reps","num_taxa","num_trees","tree_depth","total_alignment_length","uid","alisim_gene_models","alisim_gene_tree_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,100,1,1,10000,"expA2_00001_0100_001_1_10kbp","JC",NA,"DNA","expA2_00001_0100_001_1_10kbp_random_trees.phy","expA2_00001_0100_001_1_10kbp_partitions.nex","expA2_00001_0100_001_1_10kbp_output_alignment"
"2",2,100,1,1,10000,"expA2_00001_0100_002_1_10kbp","JC",NA,"DNA","expA2_00001_0100_002_1_10kbp_random_trees.phy","expA2_00001_0100_002_1_10kbp_partitions.nex","expA2_00001_0100_002_1_10kbp_output_alignment"
"3",3,100,1,1,10000,"expA2_00001_0100_003_1_10kbp","JC",NA,"DNA","expA2_00001_0100_003_1_10kbp_random_trees.phy","expA2_00001_0100_003_1_10kbp_partitions.nex","expA2_00001_0100_003_1_10kbp_output_alignment"
"4",4,100,1,1,10000,"expA2_00001_0100_004_1_10kbp","JC",NA,"DNA","expA2_00001_0100_004_1_10kbp_random_trees.phy","expA2_00001_0100_004_1_10kbp_partitions.nex","expA2_00001_0100_004_1_10kbp_output_alignment"
"5",5,100,1,1,10000,"expA2_00001_0100_005_1_10kbp","JC",NA,"DNA","expA2_00001_0100_005_1_10kbp_random_trees.phy","expA2_00001_0100_005_1_10kbp_partitions.nex","expA2_00001_0100_005_1_10kbp_output_alignment"
"6",6,100,1,1,10000,"expA2_00001_0100_006_1_10kbp","JC",NA,"DNA","expA2_00001_0100_006_1_10kbp_random_trees.phy","expA2_00001_0100_006_1_10kbp_partitions.nex","expA2_00001_0100_006_1_10kbp_output_alignment"
"7",7,100,1,1,10000,"expA2_00001_0100_007_1_10kbp","JC",NA,"DNA","expA2_00001_0100_007_1_10kbp_random_trees.phy","expA2_00001_0100_007_1_10kbp_partitions.nex","expA2_00001_0100_007_1_10kbp_output_alignment"
"8",8,100,1,1,10000,"expA2_00001_0100_008_1_10kbp","JC",NA,"DNA","expA2_00001_0100_008_1_10kbp_random_trees.phy","expA2_00001_0100_008_1_10kbp_partitions.nex","expA2_00001_0100_008_1_10kbp_output_alignment"
"9",9,100,1,1,10000,"expA2_00001_0100_009_1_10kbp","JC",NA,"DNA","expA2_00001_0100_009_1_10kbp_random_trees.phy","expA2_00001_0100_009_1_10kbp_partitions.nex","expA2_00001_0100_009_1_10kbp_output_alignment"
"10",10,100,1,1,10000,"expA2_00001_0100_010_1_10kbp","JC",NA,"DNA","expA2_00001_0100_010_1_10kbp_random_trees.phy","expA2_00001_0100_010_1_10kbp_partitions.nex","expA2_00001_0100_010_1_10kbp_output_alignment"
"11",11,100,1,1,10000,"expA2_00001_0100_011_1_10kbp","JC",NA,"DNA","expA2_00001_0100_011_1_10kbp_random_trees.phy","expA2_00001_0100_011_1_10kbp_partitions.nex","expA2_00001_0100_011_1_10kbp_output_alignment"
"12",12,100,1,1,10000,"expA2_00001_0100_012_1_10kbp","JC",NA,"DNA","expA2_00001_0100_012_1_10kbp_random_trees.phy","expA2_00001_0100_012_1_10kbp_partitions.nex","expA2_00001_0100_012_1_10kbp_output_alignment"
"13",13,100,1,1,10000,"expA2_00001_0100_013_1_10kbp","JC",NA,"DNA","expA2_00001_0100_013_1_10kbp_random_trees.phy","expA2_00001_0100_013_1_10kbp_partitions.nex","expA2_00001_0100_013_1_10kbp_output_alignment"
"14",14,100,1,1,10000,"expA2_00001_0100_014_1_10kbp","JC",NA,"DNA","expA2_00001_0100_014_1_10kbp_random_trees.phy","expA2_00001_0100_014_1_10kbp_partitions.nex","expA2_00001_0100_014_1_10kbp_output_alignment"
"15",15,100,1,1,10000,"expA2_00001_0100_015_1_10kbp","JC",NA,"DNA","expA2_00001_0100_015_1_10kbp_random_trees.phy","expA2_00001_0100_015_1_10kbp_partitions.nex","expA2_00001_0100_015_1_10kbp_output_alignment"
"16",16,100,1,1,10000,"expA2_00001_0100_016_1_10kbp","JC",NA,"DNA","expA2_00001_0100_016_1_10kbp_random_trees.phy","expA2_00001_0100_016_1_10kbp_partitions.nex","expA2_00001_0100_016_1_10kbp_output_alignment"
"17",17,100,1,1,10000,"expA2_00001_0100_017_1_10kbp","JC",NA,"DNA","expA2_00001_0100_017_1_10kbp_random_trees.phy","expA2_00001_0100_017_1_10kbp_partitions.nex","expA2_00001_0100_017_1_10kbp_output_alignment"
"18",18,100,1,1,10000,"expA2_00001_0100_018_1_10kbp","JC",NA,"DNA","expA2_00001_0100_018_1_10kbp_random_trees.phy","expA2_00001_0100_018_1_10kbp_partitions.nex","expA2_00001_0100_018_1_10kbp_output_alignment"
"19",19,100,1,1,10000,"expA2_00001_0100_019_1_10kbp","JC",NA,"DNA","expA2_00001_0100_019_1_10kbp_random_trees.phy","expA2_00001_0100_019_1_10kbp_partitions.nex","expA2_00001_0100_019_1_10kbp_output_alignment"
"20",20,100,1,1,10000,"expA2_00001_0100_020_1_10kbp","JC",NA,"DNA","expA2_00001_0100_020_1_10kbp_random_trees.phy","expA2_00001_0100_020_1_10kbp_partitions.nex","expA2_00001_0100_020_1_10kbp_output_alignment"
"21",21,100,1,1,10000,"expA2_00001_0100_021_1_10kbp","JC",NA,"DNA","expA2_00001_0100_021_1_10kbp_random_trees.phy","expA2_00001_0100_021_1_10kbp_partitions.nex","expA2_00001_0100_021_1_10kbp_output_alignment"
"22",22,100,1,1,10000,"expA2_00001_0100_022_1_10kbp","JC",NA,"DNA","expA2_00001_0100_022_1_10kbp_random_trees.phy","expA2_00001_0100_022_1_10kbp_partitions.nex","expA2_00001_0100_022_1_10kbp_output_alignment"
"23",23,100,1,1,10000,"expA2_00001_0100_023_1_10kbp","JC",NA,"DNA","expA2_00001_0100_023_1_10kbp_random_trees.phy","expA2_00001_0100_023_1_10kbp_partitions.nex","expA2_00001_0100_023_1_10kbp_output_alignment"
"24",24,100,1,1,10000,"expA2_00001_0100_024_1_10kbp","JC",NA,"DNA","expA2_00001_0100_024_1_10kbp_random_trees.phy","expA2_00001_0100_024_1_10kbp_partitions.nex","expA2_00001_0100_024_1_10kbp_output_alignment"
"25",25,100,1,1,10000,"expA2_00001_0100_025_1_10kbp","JC",NA,"DNA","expA2_00001_0100_025_1_10kbp_random_trees.phy","expA2_00001_0100_025_1_10kbp_partitions.nex","expA2_00001_0100_025_1_10kbp_output_alignment"
"26",26,100,1,1,10000,"expA2_00001_0100_026_1_10kbp","JC",NA,"DNA","expA2_00001_0100_026_1_10kbp_random_trees.phy","expA2_00001_0100_026_1_10kbp_partitions.nex","expA2_00001_0100_026_1_10kbp_output_alignment"
"27",27,100,1,1,10000,"expA2_00001_0100_027_1_10kbp","JC",NA,"DNA","expA2_00001_0100_027_1_10kbp_random_trees.phy","expA2_00001_0100_027_1_10kbp_partitions.nex","expA2_00001_0100_027_1_10kbp_output_alignment"
"28",28,100,1,1,10000,"expA2_00001_0100_028_1_10kbp","JC",NA,"DNA","expA2_00001_0100_028_1_10kbp_random_trees.phy","expA2_00001_0100_028_1_10kbp_partitions.nex","expA2_00001_0100_028_1_10kbp_output_alignment"
"29",29,100,1,1,10000,"expA2_00001_0100_029_1_10kbp","JC",NA,"DNA","expA2_00001_0100_029_1_10kbp_random_trees.phy","expA2_00001_0100_029_1_10kbp_partitions.nex","expA2_00001_0100_029_1_10kbp_output_alignment"
