"X","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","num_resolved_quartets","num_partly_resolved_quartets","num_unresolved_quartets","total_num_quartets","proportion_resolved_quartets","quartet_treeness_min","quartet_treeness_1st_qu","quartet_treeness_median","quartet_treeness_mean","quartet_treeness_3rd_qu","quartet_treeness_max","quartet_treeness_num_sampled_quartets","quartet_treeness_total_num_quartets"
1254,1254,4,5,1,0.1,"expB1_00001_0005_004_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.1/expB1_00001_0005_004_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.1/expB1_00001_0005_004_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.1/expB1_00001_0005_004_0.1_output_alignment.fa",66,0,59,125,0.528,0.00211067009584217,0.00220451392196344,0.151886861474026,0.0990756489616429,0.16063737156723,0.178538827749153,5,5
2504,2504,4,5,1,1,"expB1_00001_0005_004_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_1/expB1_00001_0005_004_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_1/expB1_00001_0005_004_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_1/expB1_00001_0005_004_1_output_alignment.fa",87,24,14,125,0.696,0.230014333391077,0.299195193863781,0.437273878655719,0.399122237980956,0.469144369649658,0.559983414344543,5,5
5,5,5,5,1,0.01,"expB1_00001_0005_005_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.01/expB1_00001_0005_005_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.01/expB1_00001_0005_005_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.01/expB1_00001_0005_005_0.01_output_alignment.fa",125,0,0,125,1,0.160448607578757,0.16338013902966,0.168290158883729,0.180501623620528,0.200192102933057,0.210197109677435,5,5
1255,1255,5,5,1,0.1,"expB1_00001_0005_005_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.1/expB1_00001_0005_005_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.1/expB1_00001_0005_005_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_0.1/expB1_00001_0005_005_0.1_output_alignment.fa",125,0,0,125,1,0.196748195829445,0.2022872072247,0.313505174711956,0.283901234917018,0.3528710708771,0.35409452594189,5,5
2505,2505,5,5,1,1,"expB1_00001_0005_005_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_1/expB1_00001_0005_005_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_1/expB1_00001_0005_005_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_005_1/expB1_00001_0005_005_1_output_alignment.fa",125,0,0,125,1,0.109943780933305,0.115753996850905,0.146033740435088,0.136416740688647,0.154597352284162,0.155754832939776,5,5
6,6,6,5,1,0.01,"expB1_00001_0005_006_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.01/expB1_00001_0005_006_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.01/expB1_00001_0005_006_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.01/expB1_00001_0005_006_0.01_output_alignment.fa",125,0,0,125,1,0.313262496193291,0.323341920567028,0.38617338482197,0.376270371000013,0.404536520082912,0.454037533334863,5,5
1256,1256,6,5,1,0.1,"expB1_00001_0005_006_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.1/expB1_00001_0005_006_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.1/expB1_00001_0005_006_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_0.1/expB1_00001_0005_006_0.1_output_alignment.fa",125,0,0,125,1,0.116221585391041,0.124172888694455,0.316601266693765,0.245598949785747,0.332864476300848,0.338134531848626,5,5
2506,2506,6,5,1,1,"expB1_00001_0005_006_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_1/expB1_00001_0005_006_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_1/expB1_00001_0005_006_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_006_1/expB1_00001_0005_006_1_output_alignment.fa",125,0,0,125,1,0.0692391274455781,0.0716402518983046,0.192213814512965,0.194674861045417,0.240896947899933,0.399384163470302,5,5
7,7,7,5,1,0.01,"expB1_00001_0005_007_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.01/expB1_00001_0005_007_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.01/expB1_00001_0005_007_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.01/expB1_00001_0005_007_0.01_output_alignment.fa",125,0,0,125,1,0.26300295888566,0.356639381661952,0.374162553259639,0.357954078246171,0.388268698754265,0.407696798669339,5,5
1257,1257,7,5,1,0.1,"expB1_00001_0005_007_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.1/expB1_00001_0005_007_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.1/expB1_00001_0005_007_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_0.1/expB1_00001_0005_007_0.1_output_alignment.fa",125,0,0,125,1,0.224380832159032,0.264007587801637,0.443065687422463,0.377530075926056,0.464087284028962,0.492108988218184,5,5
