"num_reps","num_taxa","num_trees","tree_depth","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","uid","st_rt_max_branching_times_min","st_rt_max_branching_times_1st_qu","st_rt_max_branching_times_median","st_rt_max_branching_times_mean","st_rt_max_branching_times_3rd_qu","st_rt_max_branching_times_max","st_rt_tree_height_min","st_rt_tree_height_1st_qu","st_rt_tree_height_median","st_rt_tree_height_mean","st_rt_tree_height_3rd_qu","st_rt_tree_height_max","st_rt_crown_age_min","st_rt_crown_age_1st_qu","st_rt_crown_age_median","st_rt_crown_age_mean","st_rt_crown_age_3rd_qu","st_rt_crown_age_max","st_ext_max_branching_times_min","st_ext_max_branching_times_1st_qu","st_ext_max_branching_times_median","st_ext_max_branching_times_mean","st_ext_max_branching_times_3rd_qu","st_ext_max_branching_times_max","st_ext_tree_height_min","st_ext_tree_height_1st_qu","st_ext_tree_height_median","st_ext_tree_height_mean","st_ext_tree_height_3rd_qu","st_ext_tree_height_max","st_ext_crown_age_min","st_ext_crown_age_1st_qu","st_ext_crown_age_median","st_ext_crown_age_mean","st_ext_crown_age_3rd_qu","st_ext_crown_age_max","st_coal_max_branching_times_min","st_coal_max_branching_times_1st_qu","st_coal_max_branching_times_median","st_coal_max_branching_times_mean","st_coal_max_branching_times_3rd_qu","st_coal_max_branching_times_max","st_coal_tree_height_min","st_coal_tree_height_1st_qu","st_coal_tree_height_median","st_coal_tree_height_mean","st_coal_tree_height_3rd_qu","st_coal_tree_height_max","st_coal_crown_age_min","st_coal_crown_age_1st_qu","st_coal_crown_age_median","st_coal_crown_age_mean","st_coal_crown_age_3rd_qu","st_coal_crown_age_max"
11,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_011_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_012_0.01",0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
13,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_013_0.01",0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.0155640529080096,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
14,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_014_0.01",0.00841963153244494,0.00841963153244494,0.00841963153244494,0.00841963153244494,0.00841963153244494,0.00841963153244494,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
15,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_015_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.0125280171522283,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_016_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.0106867825747232,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
17,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_017_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.0187884603449775,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
18,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_018_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.0181732825792497,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
19,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_019_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.0183749005982126,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
20,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_020_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.0335656076923648,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
