"","row_id","num_reps","num_taxa","num_trees","tree_age","tree_depth_subspersite","recombination_value","recombination_type","speciation_rate","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","starting_tree_file","gene_tree_file","partition_file","output_alignment_file"
"2041",2041,1,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_001_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_001_500_0.2_Recent_0.1/expB2_00200_0020_001_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_001_500_0.2_Recent_0.1/expB2_00200_0020_001_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_001_500_0.2_Recent_0.1/expB2_00200_0020_001_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_001_500_0.2_Recent_0.1/expB2_00200_0020_001_500_0.2_Recent_0.1_output_alignment.fa"
"2042",2042,2,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_002_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_002_500_0.2_Recent_0.1/expB2_00200_0020_002_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_002_500_0.2_Recent_0.1/expB2_00200_0020_002_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_002_500_0.2_Recent_0.1/expB2_00200_0020_002_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_002_500_0.2_Recent_0.1/expB2_00200_0020_002_500_0.2_Recent_0.1_output_alignment.fa"
"2043",2043,3,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_003_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_003_500_0.2_Recent_0.1/expB2_00200_0020_003_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_003_500_0.2_Recent_0.1/expB2_00200_0020_003_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_003_500_0.2_Recent_0.1/expB2_00200_0020_003_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_003_500_0.2_Recent_0.1/expB2_00200_0020_003_500_0.2_Recent_0.1_output_alignment.fa"
"2044",2044,4,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_004_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_004_500_0.2_Recent_0.1/expB2_00200_0020_004_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_004_500_0.2_Recent_0.1/expB2_00200_0020_004_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_004_500_0.2_Recent_0.1/expB2_00200_0020_004_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_004_500_0.2_Recent_0.1/expB2_00200_0020_004_500_0.2_Recent_0.1_output_alignment.fa"
"2045",2045,5,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_005_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_005_500_0.2_Recent_0.1/expB2_00200_0020_005_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_005_500_0.2_Recent_0.1/expB2_00200_0020_005_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_005_500_0.2_Recent_0.1/expB2_00200_0020_005_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_005_500_0.2_Recent_0.1/expB2_00200_0020_005_500_0.2_Recent_0.1_output_alignment.fa"
"2046",2046,6,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_006_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_006_500_0.2_Recent_0.1/expB2_00200_0020_006_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_006_500_0.2_Recent_0.1/expB2_00200_0020_006_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_006_500_0.2_Recent_0.1/expB2_00200_0020_006_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_006_500_0.2_Recent_0.1/expB2_00200_0020_006_500_0.2_Recent_0.1_output_alignment.fa"
"2047",2047,7,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_007_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_007_500_0.2_Recent_0.1/expB2_00200_0020_007_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_007_500_0.2_Recent_0.1/expB2_00200_0020_007_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_007_500_0.2_Recent_0.1/expB2_00200_0020_007_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_007_500_0.2_Recent_0.1/expB2_00200_0020_007_500_0.2_Recent_0.1_output_alignment.fa"
"2048",2048,8,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_008_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_008_500_0.2_Recent_0.1/expB2_00200_0020_008_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_008_500_0.2_Recent_0.1/expB2_00200_0020_008_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_008_500_0.2_Recent_0.1/expB2_00200_0020_008_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_008_500_0.2_Recent_0.1/expB2_00200_0020_008_500_0.2_Recent_0.1_output_alignment.fa"
"2049",2049,9,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_009_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_009_500_0.2_Recent_0.1/expB2_00200_0020_009_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_009_500_0.2_Recent_0.1/expB2_00200_0020_009_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_009_500_0.2_Recent_0.1/expB2_00200_0020_009_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_009_500_0.2_Recent_0.1/expB2_00200_0020_009_500_0.2_Recent_0.1_output_alignment.fa"
"2050",2050,10,20,200,500,0.5,0.2,"Recent",0.1,"expB2_00200_0020_010_500_0.2_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_010_500_0.2_Recent_0.1/expB2_00200_0020_010_500_0.2_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_010_500_0.2_Recent_0.1/expB2_00200_0020_010_500_0.2_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_010_500_0.2_Recent_0.1/expB2_00200_0020_010_500_0.2_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0020_010_500_0.2_Recent_0.1/expB2_00200_0020_010_500_0.2_Recent_0.1_output_alignment.fa"
