"","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"11",11,11,100,1,1,"expA2_00001_0100_011_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_011_1_10kbp/expA2_00001_0100_011_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_011_1_10kbp/expA2_00001_0100_011_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_011_1_10kbp/expA2_00001_0100_011_1_10kbp_output_alignment.fa"
"12",12,12,100,1,1,"expA2_00001_0100_012_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_012_1_10kbp/expA2_00001_0100_012_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_012_1_10kbp/expA2_00001_0100_012_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_012_1_10kbp/expA2_00001_0100_012_1_10kbp_output_alignment.fa"
"13",13,13,100,1,1,"expA2_00001_0100_013_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_013_1_10kbp/expA2_00001_0100_013_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_013_1_10kbp/expA2_00001_0100_013_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_013_1_10kbp/expA2_00001_0100_013_1_10kbp_output_alignment.fa"
"14",14,14,100,1,1,"expA2_00001_0100_014_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_014_1_10kbp/expA2_00001_0100_014_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_014_1_10kbp/expA2_00001_0100_014_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_014_1_10kbp/expA2_00001_0100_014_1_10kbp_output_alignment.fa"
"15",15,15,100,1,1,"expA2_00001_0100_015_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_015_1_10kbp/expA2_00001_0100_015_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_015_1_10kbp/expA2_00001_0100_015_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_015_1_10kbp/expA2_00001_0100_015_1_10kbp_output_alignment.fa"
"16",16,16,100,1,1,"expA2_00001_0100_016_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_016_1_10kbp/expA2_00001_0100_016_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_016_1_10kbp/expA2_00001_0100_016_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_016_1_10kbp/expA2_00001_0100_016_1_10kbp_output_alignment.fa"
"17",17,17,100,1,1,"expA2_00001_0100_017_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_017_1_10kbp/expA2_00001_0100_017_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_017_1_10kbp/expA2_00001_0100_017_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_017_1_10kbp/expA2_00001_0100_017_1_10kbp_output_alignment.fa"
"18",18,18,100,1,1,"expA2_00001_0100_018_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_018_1_10kbp/expA2_00001_0100_018_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_018_1_10kbp/expA2_00001_0100_018_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_018_1_10kbp/expA2_00001_0100_018_1_10kbp_output_alignment.fa"
"19",19,19,100,1,1,"expA2_00001_0100_019_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_019_1_10kbp/expA2_00001_0100_019_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_019_1_10kbp/expA2_00001_0100_019_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_019_1_10kbp/expA2_00001_0100_019_1_10kbp_output_alignment.fa"
"20",20,20,100,1,1,"expA2_00001_0100_020_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_020_1_10kbp/expA2_00001_0100_020_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_020_1_10kbp/expA2_00001_0100_020_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_020_1_10kbp/expA2_00001_0100_020_1_10kbp_output_alignment.fa"
"21",21,21,100,1,1,"expA2_00001_0100_021_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_021_1_10kbp/expA2_00001_0100_021_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_021_1_10kbp/expA2_00001_0100_021_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_021_1_10kbp/expA2_00001_0100_021_1_10kbp_output_alignment.fa"
"22",22,22,100,1,1,"expA2_00001_0100_022_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_022_1_10kbp/expA2_00001_0100_022_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_022_1_10kbp/expA2_00001_0100_022_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_022_1_10kbp/expA2_00001_0100_022_1_10kbp_output_alignment.fa"
"23",23,23,100,1,1,"expA2_00001_0100_023_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_023_1_10kbp/expA2_00001_0100_023_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_023_1_10kbp/expA2_00001_0100_023_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_023_1_10kbp/expA2_00001_0100_023_1_10kbp_output_alignment.fa"
