"X","row_id","num_reps","num_taxa","num_trees","tree_age","tree_depth_subspersite","recombination_value","recombination_type","speciation_rate","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","starting_tree_file","gene_tree_file","partition_file","output_alignment_file","num_resolved_quartets","num_partly_resolved_quartets","num_unresolved_quartets","total_num_quartets","proportion_resolved_quartets","quartet_treeness_min","quartet_treeness_1st_qu","quartet_treeness_median","quartet_treeness_mean","quartet_treeness_3rd_qu","quartet_treeness_max","quartet_treeness_num_sampled_quartets","quartet_treeness_total_num_quartets"
2071,2071,1,5,200,5,0.005,0.25,"Recent",0.1,"expB2_00200_0005_001_5_0.25_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_0.1/expB2_00200_0005_001_5_0.25_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_0.1/expB2_00200_0005_001_5_0.25_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_0.1/expB2_00200_0005_001_5_0.25_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_0.1/expB2_00200_0005_001_5_0.25_Recent_0.1_output_alignment.fa",125,0,0,125,1,0.0292585286820146,0.0301806153295475,0.0973726217959136,0.0790693980023641,0.102680871756809,0.135854352447536,5,5
5041,5041,1,5,200,5,0.005,0.25,"Recent",1,"expB2_00200_0005_001_5_0.25_Recent_1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_1/expB2_00200_0005_001_5_0.25_Recent_1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_1/expB2_00200_0005_001_5_0.25_Recent_1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_1/expB2_00200_0005_001_5_0.25_Recent_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.25_Recent_1/expB2_00200_0005_001_5_0.25_Recent_1_output_alignment.fa",125,0,0,125,1,0.204299454267807,0.20443656756941,0.404230930036979,0.36403350239622,0.407425995384211,0.599774564722692,5,5
2221,2221,1,5,200,5,0.005,0.3,"Recent",0.1,"expB2_00200_0005_001_5_0.3_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_0.1/expB2_00200_0005_001_5_0.3_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_0.1/expB2_00200_0005_001_5_0.3_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_0.1/expB2_00200_0005_001_5_0.3_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_0.1/expB2_00200_0005_001_5_0.3_Recent_0.1_output_alignment.fa",125,0,0,125,1,0.18014593669396,0.183248962342736,0.214107663171928,0.20563226384021,0.222723529731581,0.227935227260847,5,5
5191,5191,1,5,200,5,0.005,0.3,"Recent",1,"expB2_00200_0005_001_5_0.3_Recent_1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_1/expB2_00200_0005_001_5_0.3_Recent_1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_1/expB2_00200_0005_001_5_0.3_Recent_1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_1/expB2_00200_0005_001_5_0.3_Recent_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.3_Recent_1/expB2_00200_0005_001_5_0.3_Recent_1_output_alignment.fa",125,0,0,125,1,0.538267214194753,0.551801295884396,0.566385840807005,0.590379302286682,0.578432887961034,0.717009272586222,5,5
2371,2371,1,5,200,5,0.005,0.35,"Recent",0.1,"expB2_00200_0005_001_5_0.35_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_0.1/expB2_00200_0005_001_5_0.35_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_0.1/expB2_00200_0005_001_5_0.35_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_0.1/expB2_00200_0005_001_5_0.35_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_0.1/expB2_00200_0005_001_5_0.35_Recent_0.1_output_alignment.fa",125,0,0,125,1,0.257736692495962,0.259436657122427,0.427798500870557,0.365029326606271,0.43930760720125,0.440867175341158,5,5
5341,5341,1,5,200,5,0.005,0.35,"Recent",1,"expB2_00200_0005_001_5_0.35_Recent_1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_1/expB2_00200_0005_001_5_0.35_Recent_1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_1/expB2_00200_0005_001_5_0.35_Recent_1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_1/expB2_00200_0005_001_5_0.35_Recent_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.35_Recent_1/expB2_00200_0005_001_5_0.35_Recent_1_output_alignment.fa",125,0,0,125,1,0.227571763185954,0.228019325658205,0.243155282475501,0.281400600111316,0.315081961613617,0.393174667623304,5,5
2521,2521,1,5,200,5,0.005,0.4,"Recent",0.1,"expB2_00200_0005_001_5_0.4_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_0.1/expB2_00200_0005_001_5_0.4_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_0.1/expB2_00200_0005_001_5_0.4_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_0.1/expB2_00200_0005_001_5_0.4_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_0.1/expB2_00200_0005_001_5_0.4_Recent_0.1_output_alignment.fa",125,0,0,125,1,0.134253955220125,0.137981754338842,0.243435276468156,0.212016914056305,0.262581213779118,0.281832370475286,5,5
5491,5491,1,5,200,5,0.005,0.4,"Recent",1,"expB2_00200_0005_001_5_0.4_Recent_1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_1/expB2_00200_0005_001_5_0.4_Recent_1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_1/expB2_00200_0005_001_5_0.4_Recent_1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_1/expB2_00200_0005_001_5_0.4_Recent_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.4_Recent_1/expB2_00200_0005_001_5_0.4_Recent_1_output_alignment.fa",125,0,0,125,1,0.370883749482564,0.417104329954685,0.56692966079907,0.505267049284995,0.583591954836444,0.58782555135221,5,5
2671,2671,1,5,200,5,0.005,0.45,"Recent",0.1,"expB2_00200_0005_001_5_0.45_Recent_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_0.1/expB2_00200_0005_001_5_0.45_Recent_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_0.1/expB2_00200_0005_001_5_0.45_Recent_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_0.1/expB2_00200_0005_001_5_0.45_Recent_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_0.1/expB2_00200_0005_001_5_0.45_Recent_0.1_output_alignment.fa",125,0,0,125,1,0.0405729799573186,0.0425736148156013,0.0788740039886124,0.0874837588095996,0.0791654844471187,0.196232710839347,5,5
5641,5641,1,5,200,5,0.005,0.45,"Recent",1,"expB2_00200_0005_001_5_0.45_Recent_1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_1/expB2_00200_0005_001_5_0.45_Recent_1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_1/expB2_00200_0005_001_5_0.45_Recent_1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_1/expB2_00200_0005_001_5_0.45_Recent_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0005_001_5_0.45_Recent_1/expB2_00200_0005_001_5_0.45_Recent_1_output_alignment.fa",125,0,0,125,1,0.0751162718935465,0.0764074868770342,0.123007593522851,0.129022833229371,0.12513351260274,0.245449301250681,5,5
