"","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,1,10,1,0.01,"expA1_00001_0010_001_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_output_alignment.fa"
"2",2,2,10,1,0.01,"expA1_00001_0010_002_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_output_alignment.fa"
"3",3,3,10,1,0.01,"expA1_00001_0010_003_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_output_alignment.fa"
"4",4,4,10,1,0.01,"expA1_00001_0010_004_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_output_alignment.fa"
"5",5,5,10,1,0.01,"expA1_00001_0010_005_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_005_0.01_10kbp/expA1_00001_0010_005_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_005_0.01_10kbp/expA1_00001_0010_005_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_005_0.01_10kbp/expA1_00001_0010_005_0.01_10kbp_output_alignment.fa"
"6",6,6,10,1,0.01,"expA1_00001_0010_006_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_006_0.01_10kbp/expA1_00001_0010_006_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_006_0.01_10kbp/expA1_00001_0010_006_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_006_0.01_10kbp/expA1_00001_0010_006_0.01_10kbp_output_alignment.fa"
"7",7,7,10,1,0.01,"expA1_00001_0010_007_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_007_0.01_10kbp/expA1_00001_0010_007_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_007_0.01_10kbp/expA1_00001_0010_007_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_007_0.01_10kbp/expA1_00001_0010_007_0.01_10kbp_output_alignment.fa"
"8",8,8,10,1,0.01,"expA1_00001_0010_008_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_008_0.01_10kbp/expA1_00001_0010_008_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_008_0.01_10kbp/expA1_00001_0010_008_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_008_0.01_10kbp/expA1_00001_0010_008_0.01_10kbp_output_alignment.fa"
"9",9,9,10,1,0.01,"expA1_00001_0010_009_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_009_0.01_10kbp/expA1_00001_0010_009_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_009_0.01_10kbp/expA1_00001_0010_009_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_009_0.01_10kbp/expA1_00001_0010_009_0.01_10kbp_output_alignment.fa"
"10",10,10,10,1,0.01,"expA1_00001_0010_010_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_010_0.01_10kbp/expA1_00001_0010_010_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_010_0.01_10kbp/expA1_00001_0010_010_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_010_0.01_10kbp/expA1_00001_0010_010_0.01_10kbp_output_alignment.fa"
"11",11,11,10,1,0.01,"expA1_00001_0010_011_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_011_0.01_10kbp/expA1_00001_0010_011_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_011_0.01_10kbp/expA1_00001_0010_011_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_011_0.01_10kbp/expA1_00001_0010_011_0.01_10kbp_output_alignment.fa"
"12",12,12,10,1,0.01,"expA1_00001_0010_012_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_012_0.01_10kbp/expA1_00001_0010_012_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_012_0.01_10kbp/expA1_00001_0010_012_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_012_0.01_10kbp/expA1_00001_0010_012_0.01_10kbp_output_alignment.fa"
