"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
71,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 6 7 9",TRUE
72,5," (-0.002,0.002)",-0.002,0.002,"  1 5 6 7 10",TRUE
73,3," (-0.003,0.003)",-0.003,0.003,"  1 5 7",TRUE
74,3," (-0.004,0.004)",-0.004,0.004,"  1 2 4 5 6 7 10",TRUE
75,4," (-0.003,0.003)",-0.003,0.003,"  1 2 5 6",TRUE
76,5," (-0.002,0.002)",-0.002,0.002,"  1 2 4 5 6",TRUE
77,5," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 9",TRUE
78,3," (-0.004,0.004)",-0.004,0.004,"  1 3 4 7 8 9 10",TRUE
79,5," (-0.003,0.003)",-0.003,0.003,"  1 2 6 8 10",TRUE
80,4," (0,0)",0,0,"  1 3 4 5 6 7",TRUE
81,2," (-0.003,0.003)",-0.003,0.003,"  1 2 3 6 7 8 9 10",TRUE
82,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 9 10",TRUE
83,5," (-0.001,0.001)",-0.001,0.001,"  1 4 5 6 7",TRUE
84,3," (-0.006,0.006)",-0.006,0.006,"  1 2 3 6 8 9 10",TRUE
85,4," (-0.007,0.007)",-0.007,0.007,"  1 3 4 7 8 9",TRUE
86,3," (-0.002,0.002)",-0.002,0.002,"  1 3 4 5 6 7 9",TRUE
87,5," (-0.005,0.005)",-0.005,0.005,"  1 2 5 8 10",TRUE
88,4," (-0.002,0.002)",-0.002,0.002,"  1 2 8 10",TRUE
89,4," (-0.002,0.002)",-0.002,0.002,"  1 5 6 7 8 10",TRUE
90,4," (-0.003,0.003)",-0.003,0.003,"  1 2 5 10",TRUE
91,2," (-0.002,0.002)",-0.002,0.002,"  1 5",TRUE
92,3," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 7 8 9",TRUE
93,3," (-0.003,0.003)",-0.003,0.003,"  1 5 6 7 8 9 10",TRUE
94,5," (-0.001,0.001)",-0.001,0.001,"  1 2 5 9 10",TRUE
95,4," (0,0)",0,0,"  1 4 5 6 7 8",TRUE
96,3," (-0.003,0.003)",-0.003,0.003,"  1 9 10",TRUE
97,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 7 8 9 10",TRUE
98,3," (0,0)",0,0,"  1 3 4 6 7 9 10",TRUE
99,5," (-0.002,0.002)",-0.002,0.002,"  1 5 6 9 10",TRUE
100,3," (-0.002,0.002)",-0.002,0.002,"  1 5 6",TRUE
101,5," (-0.001,0.001)",-0.001,0.001,"  1 2 6 7 8",TRUE
102,5," (-0.001,0.001)",-0.001,0.001,"  1 2 8 9 10",TRUE
103,4," (0,0)",0,0,"  1 2 7 8",TRUE
104,3," (-0.003,0.003)",-0.003,0.003,"  1 6 8",TRUE
105,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 6 7",TRUE
106,3," (0,0)",0,0,"  1 2 4 5 6 8 10",TRUE
107,2," (-0.001,0.001)",-0.001,0.001,"  1 10",TRUE
108,4," (-0.001,0.001)",-0.001,0.001,"  1 6 9 10",TRUE
109,5," (-0.001,0.001)",-0.001,0.001,"  1 2 5 6 8",TRUE
110,5," (-0.001,0.001)",-0.001,0.001,"  1 2 4 5 7",TRUE
111,4," (-0.003,0.003)",-0.003,0.003,"  1 5 7 8",TRUE
112,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 7 9 10",TRUE
113,3," (-0.001,0.001)",-0.001,0.001,"  1 2 7",TRUE
114,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 9 10",TRUE
115,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 7 9",TRUE
116,5," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 7",TRUE
117,3," (0,0)",0,0,"  1 2 3 4 5 7 9",TRUE
118,3," (-0.003,0.003)",-0.003,0.003,"  1 3 4 6 7 8 9",TRUE
119,5," (-0.003,0.003)",-0.003,0.003,"  1 3 4 7 8",TRUE
120,4," (-0.002,0.002)",-0.002,0.002,"  1 2 4 5 7 8",TRUE
121,5," (-0.001,0.001)",-0.001,0.001,"  1 2 4 6 8",TRUE
122,4," (-0.001,0.001)",-0.001,0.001,"  1 2 4 5 6 8",TRUE
123,3," (0,0)",0,0,"  1 3 5 6 7 9 10",TRUE
124,5," (-0.002,0.002)",-0.002,0.002,"  1 3 4 8 9",TRUE
125,4," (-0.001,0.001)",-0.001,0.001,"  1 3 4 6 9 10",TRUE
126,5," (-0.001,0.001)",-0.001,0.001,"  1 3 4 9 10",TRUE
127,4," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4",TRUE
128,4," (-0.001,0.001)",-0.001,0.001,"  1 6 7 8",TRUE
129,4," (-0.002,0.002)",-0.002,0.002,"  1 2 4 5 6 10",TRUE
130,4," (-0.002,0.002)",-0.002,0.002,"  1 2 4 5",TRUE
131,5," (0,0)",0,0,"  1 2 3 4 5",TRUE
