"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
1,1," (0.355,0.366)",0.355,0.366,"  1 3 4 5 6 7 8 9 10",FALSE
2,2," (-0.006,0.006)",-0.006,0.006,"  1 3 5 6 7 8 9 10",TRUE
3,5," (-0.004,0.004)",-0.004,0.004,"  1 5 6 7 8",TRUE
4,1," (0.35,0.368)",0.35,0.368,"  1",FALSE
5,1," (0.311,0.331)",0.311,0.331,"  1 2 3 5 6 7 8 9 10",FALSE
6,2," (0.03,0.049)",0.03,0.049,"  1 2 5 6 7 8 9 10",FALSE
7,3," (0,0.025)",0,0.025,"  1 2 5 6 7 8 10",TRUE
8,3," (-0.005,0.005)",-0.005,0.005,"  1 2 8",TRUE
9,2," (0.005,0.023)",0.005,0.023,"  1 2",FALSE
10,1," (0.232,0.256)",0.232,0.256,"  1 2 4 5 6 7 8 9 10",FALSE
11,2," (0.058,0.08)",0.058,0.08,"  1 2 4 5 6 7 8 10",FALSE
12,3," (-0.008,0.008)",-0.008,0.008,"  1 2 4 5 6 7 8",TRUE
13,3," (-0.006,0.006)",-0.006,0.006,"  1 2 4",TRUE
14,1," (0.263,0.29)",0.263,0.29,"  1 2 3 4 5 6 7 8 10",FALSE
15,2," (0,0.022)",0,0.022,"  1 2 3 4 5 6 7 8",TRUE
16,3," (-0.007,0.007)",-0.007,0.007,"  1 2 3 4 5 7 8",TRUE
17,1," (0.343,0.368)",0.343,0.368,"  1 2 3 4 5 6 7 8 9",FALSE
18,3," (-0.008,0.008)",-0.008,0.008,"  1 2 3 4 7 8 9",TRUE
19,1," (0.358,0.378)",0.358,0.378,"  1 2 3 4 5 7 8 9 10",FALSE
20,3," (-0.004,0.01)",-0.004,0.01,"  1 2 3 4 8 9 10",TRUE
21,1," (0.355,0.377)",0.355,0.377,"  1 2 3 4 6 7 8 9 10",FALSE
22,2," (-0.007,0.012)",-0.007,0.012,"  1 2 3 4 6 8 9 10",TRUE
23,1," (0.349,0.366)",0.349,0.366,"  1 2 3 4 5 6 8 9 10",FALSE
24,2," (-0.009,0.009)",-0.009,0.009,"  1 2 3 4 5 6 9 10",TRUE
25,1," (0.356,0.378)",0.356,0.378,"  1 2 3 4 5 6 7 9 10",FALSE
26,3," (-0.005,0.005)",-0.005,0.005,"  1 7 8",TRUE
27,2," (-0.009,0.009)",-0.009,0.009,"  1 8",TRUE
28,4," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 7 8",TRUE
29,3," (-0.001,0.001)",-0.001,0.001,"  1 3 4 5 7 9 10",TRUE
30,4," (-0.001,0.001)",-0.001,0.001,"  1 3 4 9",TRUE
31,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 5 7 9 10",TRUE
32,4," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 9 10",TRUE
33,2," (-0.01,0.01)",-0.01,0.01,"  1 2 3 4 7 8 9 10",TRUE
34,4," (-0.003,0.003)",-0.003,0.003,"  1 2 3 4 8 9",TRUE
35,5," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 8",TRUE
36,4," (-0.003,0.003)",-0.003,0.003,"  1 2 6 8",TRUE
37,2," (-0.005,0.005)",-0.005,0.005,"  1 3 4 5 6 7 8 9",TRUE
38,3," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 6 7 8",TRUE
39,3," (-0.004,0.004)",-0.004,0.004,"  1 2 10",TRUE
40,4," (-0.002,0.002)",-0.002,0.002,"  1 2 9 10",TRUE
41,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 5 7 8 9 10",TRUE
42,4," (-0.004,0.004)",-0.004,0.004,"  1 2 3 8 9 10",TRUE
43,3," (-0.003,0.003)",-0.003,0.003,"  1 2 3 4 6 9 10",TRUE
44,2," (-0.006,0.006)",-0.006,0.006,"  1 2 3 4 5 8 9 10",TRUE
45,3," (-0.003,0.003)",-0.003,0.003,"  1 2 5",TRUE
46,2," (-0.011,0.011)",-0.011,0.011,"  1 2 3 4 5 7 8 9",TRUE
47,4," (-0.011,0.011)",-0.011,0.011,"  1 2 5 6 7 8",TRUE
48,4," (-0.004,0.004)",-0.004,0.004,"  1 5 6 7",TRUE
49,4," (-0.003,0.003)",-0.003,0.003,"  1 5 6 7 9 10",TRUE
50,2," (-0.005,0.005)",-0.005,0.005,"  1 7",TRUE
51,3," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 6 7 8",TRUE
52,4," (0,0)",0,0,"  1 2 6 7",TRUE
53,3," (-0.002,0.002)",-0.002,0.002,"  1 6 7",TRUE
54,3," (-0.005,0.005)",-0.005,0.005,"  1 2 5 6 7 9 10",TRUE
55,2," (-0.008,0.008)",-0.008,0.008,"  1 3 4 5 6 7 9 10",TRUE
56,2," (-0.004,0.004)",-0.004,0.004,"  1 6",TRUE
57,5," (-0.007,0.007)",-0.007,0.007,"  1 2 5 6 10",TRUE
58,4," (-0.003,0.003)",-0.003,0.003,"  1 2 6 10",TRUE
59,5," (-0.004,0.004)",-0.004,0.004,"  1 2 6 9 10",TRUE
60,3," (-0.003,0.003)",-0.003,0.003,"  1 2 6",TRUE
61,4," (-0.007,0.007)",-0.007,0.007,"  1 2 5 6 8 10",TRUE
62,3," (-0.006,0.006)",-0.006,0.006,"  1 2 5 6 8 9 10",TRUE
63,5," (-0.002,0.002)",-0.002,0.002,"  1 2 5 7 8",TRUE
64,4," (-0.006,0.006)",-0.006,0.006,"  1 2 5 6 9 10",TRUE
65,2," (-0.003,0.003)",-0.003,0.003,"  1 3 4 5 7 8 9 10",TRUE
66,4," (-0.004,0.004)",-0.004,0.004,"  1 2 5 6 7 10",TRUE
67,2," (-0.008,0.008)",-0.008,0.008,"  1 2 3 4 6 7 8 9",TRUE
68,4," (-0.004,0.004)",-0.004,0.004,"  1 2 6 8 9 10",TRUE
69,2," (-0.005,0.005)",-0.005,0.005,"  1 2 3 5 6 8 9 10",TRUE
70,4," (-0.007,0.007)",-0.007,0.007,"  1 2 4 5 6 7",TRUE
